                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4216,                 1.8586,                 1.7617,                0.60374,                0.60957,                0.61817,                0.25804,                 1.8435,                 1.6252,                  2.213,               0.067092,              0.0004115,              0.0004115
                      2,                 1.4121,                 1.7114,                 1.7547,                0.59502,                0.62594,                0.61106,                0.25025,                 1.9456,                 1.7698,                 2.3233,                0.03415,             0.00080259,             0.00080259
                      3,                 1.4144,                 1.6704,                 1.7562,                0.67623,                0.66213,                 0.7088,                0.33294,                 1.7343,                 1.4155,                 2.0346,              0.0011872,              0.0011731,              0.0011731
                      4,                 1.3757,                 1.5907,                 1.7187,                0.67911,                0.67075,                0.71566,                0.32691,                 1.7804,                 1.4316,                 2.1181,              0.0011424,              0.0011424,              0.0011424
                      5,                 1.3458,                 1.5454,                 1.6961,                 0.6682,                0.70116,                0.72007,                0.38343,                 1.5684,                 1.3836,                   1.91,              0.0011115,              0.0011115,              0.0011115
                      6,                 1.3098,                 1.4776,                  1.666,                 0.7141,                0.68901,                0.72097,                0.36117,                 1.6547,                 1.3212,                 1.9829,              0.0010806,              0.0010806,              0.0010806
                      7,                 1.2959,                 1.4567,                 1.6543,                0.68175,                0.73392,                0.75311,                0.36022,                 1.7335,                 1.2688,                 2.0326,              0.0010498,              0.0010498,              0.0010498
                      8,                 1.2738,                 1.4037,                 1.6337,                0.76216,                0.70221,                0.79592,                0.41665,                 1.5677,                 1.1908,                 1.8929,              0.0010189,              0.0010189,              0.0010189
                      9,                 1.2658,                 1.3922,                 1.6254,                0.72175,                 0.7564,                0.78047,                0.42173,                  1.548,                 1.1474,                 1.8477,             0.00098802,             0.00098802,             0.00098802
                     10,                 1.2463,                 1.3571,                 1.6138,                0.71937,                0.70968,                0.75636,                0.43027,                 1.5076,                 1.2149,                 1.8636,             0.00095714,             0.00095714,             0.00095714
                     11,                 1.2294,                 1.3235,                 1.5941,                0.75952,                0.73425,                0.79391,                0.41605,                 1.5637,                 1.1688,                 1.8781,             0.00092627,             0.00092627,             0.00092627
                     12,                 1.2312,                 1.3008,                 1.5896,                0.74596,                0.72747,                 0.7751,                0.40581,                 1.5594,                 1.1536,                 1.8443,             0.00089539,             0.00089539,             0.00089539
                     13,                 1.2144,                 1.2774,                 1.5817,                0.76985,                0.74415,                0.79716,                0.42458,                 1.5927,                  1.133,                 1.9014,             0.00086452,             0.00086452,             0.00086452
                     14,                 1.1926,                 1.2547,                  1.567,                0.75832,                0.74343,                0.78463,                0.40531,                 1.6416,                 1.1199,                 1.9613,             0.00083364,             0.00083364,             0.00083364
                     15,                 1.1954,                 1.2397,                  1.562,                0.77733,                0.72613,                0.80045,                0.43235,                 1.5901,                 1.0827,                 1.9155,             0.00080277,             0.00080277,             0.00080277
                     16,                 1.1839,                 1.2291,                 1.5518,                0.77558,                0.74082,                 0.8164,                0.44671,                 1.5351,                 1.0576,                 1.8555,             0.00077189,             0.00077189,             0.00077189
                     17,                 1.1744,                  1.219,                 1.5495,                0.77392,                0.77753,                 0.8155,                0.46725,                 1.4755,                 1.0267,                 1.7879,             0.00074102,             0.00074102,             0.00074102
                     18,                 1.1545,                  1.192,                 1.5325,                0.74814,                 0.7765,                 0.8266,                0.44968,                 1.5427,                  1.056,                 1.8318,             0.00071014,             0.00071014,             0.00071014
                     19,                 1.1512,                 1.1593,                  1.525,                0.77528,                0.76754,                0.82672,                0.46227,                 1.4918,                 1.0042,                 1.7976,             0.00067926,             0.00067926,             0.00067926
                     20,                 1.1419,                 1.1606,                 1.5208,                0.76108,                0.79724,                0.81622,                0.46074,                 1.4845,                0.99988,                 1.7943,             0.00064839,             0.00064839,             0.00064839
                     21,                 1.1456,                 1.1461,                 1.5149,                0.76232,                0.74972,                0.80767,                0.47301,                 1.4271,                 1.0013,                 1.7442,             0.00061751,             0.00061751,             0.00061751
                     22,                 1.1254,                 1.1318,                 1.5011,                0.76929,                0.77753,                0.84067,                0.48399,                  1.461,                0.98326,                 1.7715,             0.00058664,             0.00058664,             0.00058664
                     23,                 1.1226,                  1.114,                 1.4991,                0.76823,                0.80009,                 0.8341,                0.48074,                 1.4584,                0.98149,                 1.7748,             0.00055576,             0.00055576,             0.00055576
                     24,                 1.1047,                 1.1059,                 1.4823,                0.78566,                0.76863,                0.83833,                0.47715,                 1.4617,                0.97374,                 1.7799,             0.00052489,             0.00052489,             0.00052489
                     25,                 1.1005,                 1.0928,                 1.4898,                 0.7807,                0.77976,                0.83514,                 0.4724,                 1.4968,                0.98028,                 1.7948,             0.00049401,             0.00049401,             0.00049401
                     26,                 1.0781,                 1.0627,                 1.4698,                0.79707,                0.76085,                0.82913,                0.48224,                 1.4362,                0.97667,                 1.7563,             0.00046314,             0.00046314,             0.00046314
                     27,                 1.0938,                 1.0559,                 1.4776,                 0.7775,                0.77976,                0.83226,                 0.4765,                 1.4761,                0.95654,                 1.7973,             0.00043226,             0.00043226,             0.00043226
                     28,                 1.0684,                 1.0343,                 1.4533,                0.77553,                0.75195,                0.81515,                0.46769,                 1.4692,                0.98664,                 1.7866,             0.00040139,             0.00040139,             0.00040139
