                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4593,                 1.8949,                  1.797,                0.52202,                0.54727,                0.53461,                0.24608,                 1.7428,                  1.797,                 2.1649,               0.067388,              0.0007074,              0.0007074
                      2,                 1.4692,                 1.7975,                  1.808,                 0.6011,                0.62625,                0.62361,                0.25983,                 1.9492,                 1.5921,                 2.2461,               0.034727,              0.0013797,              0.0013797
                      3,                  1.449,                 1.7331,                 1.7867,                 0.6377,                0.60302,                0.65324,                0.29374,                 1.7913,                   1.51,                 2.1134,              0.0020308,              0.0020167,              0.0020167
                      4,                  1.403,                 1.6439,                 1.7442,                0.61465,                0.62959,                0.64987,                0.28497,                 1.8265,                 1.5429,                 2.1572,              0.0019639,              0.0019639,              0.0019639
                      5,                 1.3695,                 1.5889,                 1.7143,                0.65288,                0.69855,                0.72127,                0.36291,                 1.6318,                 1.4065,                 1.9804,              0.0019108,              0.0019108,              0.0019108
                      6,                 1.3405,                 1.5216,                 1.6925,                0.69787,                0.67574,                0.72195,                0.34323,                 1.7043,                 1.3752,                  2.047,              0.0018577,              0.0018577,              0.0018577
                      7,                 1.3186,                 1.4964,                 1.6755,                0.68648,                0.67952,                0.72911,                 0.3497,                 1.6662,                 1.3437,                  1.994,              0.0018047,              0.0018047,              0.0018047
                      8,                 1.2916,                 1.4473,                 1.6486,                0.77151,                 0.7249,                 0.7866,                 0.3997,                 1.6279,                  1.259,                 1.9496,              0.0017516,              0.0017516,              0.0017516
                      9,                 1.2869,                 1.4205,                 1.6395,                0.74757,                0.71154,                0.76063,                0.38779,                 1.6669,                 1.2049,                 1.9968,              0.0016985,              0.0016985,              0.0016985
                     10,                 1.2654,                 1.3793,                 1.6257,                 0.7391,                 0.7386,                0.78178,                0.43307,                 1.5511,                 1.1554,                 1.8814,              0.0016454,              0.0016454,              0.0016454
                     11,                  1.245,                 1.3534,                 1.6092,                0.73641,                0.72303,                0.76718,                0.38902,                 1.6834,                 1.1901,                 2.0023,              0.0015924,              0.0015924,              0.0015924
                     12,                 1.2365,                 1.3241,                 1.5984,                0.74061,                0.71142,                0.77501,                 0.4049,                  1.609,                 1.2143,                 1.9159,              0.0015393,              0.0015393,              0.0015393
                     13,                 1.2316,                 1.3103,                 1.5945,                 0.7295,                0.74305,                  0.782,                0.41579,                 1.5768,                 1.1778,                 1.9065,              0.0014862,              0.0014862,              0.0014862
                     14,                 1.2062,                 1.2849,                   1.58,                0.79178,                0.71969,                0.80509,                0.44083,                 1.5926,                 1.0866,                 1.9064,              0.0014331,              0.0014331,              0.0014331
                     15,                 1.2145,                 1.2621,                 1.5754,                0.74887,                0.76529,                0.81036,                0.43572,                   1.55,                  1.097,                 1.8734,              0.0013801,              0.0013801,              0.0013801
                     16,                 1.1966,                 1.2471,                 1.5586,                0.75621,                0.74861,                0.80576,                0.44307,                 1.5379,                 1.0903,                 1.8697,               0.001327,               0.001327,               0.001327
                     17,                 1.1835,                 1.2341,                 1.5567,                0.73361,                0.75751,                0.80547,                0.44639,                 1.5177,                 1.0785,                 1.8309,              0.0012739,              0.0012739,              0.0012739
                     18,                  1.163,                  1.211,                 1.5396,                0.76146,                0.74567,                0.82297,                0.46402,                 1.5093,                 1.0484,                 1.8224,              0.0012209,              0.0012209,              0.0012209
                     19,                 1.1653,                 1.1768,                 1.5334,                0.77498,                0.76752,                0.82586,                0.47505,                 1.4868,                 0.9996,                 1.7934,              0.0011678,              0.0011678,              0.0011678
                     20,                 1.1532,                 1.1824,                 1.5312,                0.77073,                0.75973,                0.82198,                0.46298,                  1.493,                 1.0182,                   1.81,              0.0011147,              0.0011147,              0.0011147
                     21,                   1.15,                 1.1671,                 1.5246,                 0.7346,                0.77976,                0.80939,                0.47168,                 1.4341,                 1.0256,                 1.7721,              0.0010616,              0.0010616,              0.0010616
                     22,                 1.1433,                 1.1554,                 1.5184,                0.78207,                0.77976,                0.83506,                 0.4756,                 1.4888,                0.99561,                 1.8002,              0.0010086,              0.0010086,              0.0010086
                     23,                 1.1298,                 1.1383,                 1.5077,                0.79243,                0.76439,                0.81702,                0.46476,                 1.4779,                0.99249,                  1.812,             0.00095549,             0.00095549,             0.00095549
                     24,                 1.1214,                  1.126,                 1.4928,                0.77842,                0.77197,                0.83072,                0.47708,                 1.4581,                0.99333,                 1.7958,             0.00090242,             0.00090242,             0.00090242
                     25,                 1.1116,                 1.1139,                 1.5001,                0.77407,                 0.7927,                0.83769,                0.47578,                  1.495,                0.97563,                 1.8041,             0.00084934,             0.00084934,             0.00084934
                     26,                 1.0928,                  1.084,                 1.4772,                0.79114,                0.80979,                0.84782,                0.49384,                 1.4441,                0.95117,                 1.7625,             0.00079627,             0.00079627,             0.00079627
                     27,                 1.0978,                 1.0788,                 1.4857,                0.76819,                0.78886,                 0.8247,                0.47161,                 1.4906,                 1.0089,                 1.8012,              0.0007432,              0.0007432,              0.0007432
                     28,                 1.0788,                 1.0597,                 1.4649,                0.79226,                0.78481,                0.84752,                0.48865,                 1.4654,                0.93356,                 1.7895,             0.00069012,             0.00069012,             0.00069012
                     29,                 1.0763,                 1.0578,                 1.4627,                0.76741,                0.78173,                0.82361,                0.47179,                 1.4733,                0.99012,                  1.802,             0.00063705,             0.00063705,             0.00063705
                     30,                 1.0705,                 1.0365,                 1.4571,                0.78186,                0.78942,                 0.8351,                0.49657,                 1.4216,                0.94187,                 1.7487,             0.00058398,             0.00058398,             0.00058398
