                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4894,                 1.9302,                  1.825,                0.59996,                0.53949,                0.56308,                0.22141,                 1.8951,                 1.7886,                 2.2689,               0.067679,             0.00099777,             0.00099777
                      2,                 1.5092,                 1.8404,                 1.8349,                0.53202,                0.54629,                0.49172,                0.16296,                 2.1777,                 1.9351,                 2.5399,               0.035294,              0.0019461,              0.0019461
                      3,                 1.4756,                 1.7641,                 1.8044,                0.64866,                0.63181,                0.66942,                0.28703,                 1.8739,                 1.5099,                 2.2051,              0.0028586,              0.0028445,              0.0028445
                      4,                 1.4177,                 1.6571,                 1.7466,                0.60197,                0.63253,                0.62294,                 0.2845,                 1.7638,                 1.5782,                 2.1051,                0.00277,                0.00277,                0.00277
                      5,                  1.385,                 1.6091,                 1.7265,                0.68966,                 0.6485,                0.69517,                0.34478,                 1.6875,                 1.4587,                 2.0362,              0.0026951,              0.0026951,              0.0026951
                      6,                 1.3492,                 1.5338,                 1.6984,                0.61406,                0.62625,                0.60061,                0.26169,                 1.8349,                 1.5431,                 2.2065,              0.0026203,              0.0026203,              0.0026203
                      7,                 1.3263,                 1.5178,                 1.6782,                0.68895,                0.69967,                0.72365,                0.32527,                 1.7984,                 1.3282,                 2.0927,              0.0025454,              0.0025454,              0.0025454
                      8,                 1.2989,                 1.4594,                 1.6548,                0.73103,                0.72636,                0.77024,                0.37632,                 1.6963,                 1.2482,                 2.0122,              0.0024705,              0.0024705,              0.0024705
                      9,                 1.2949,                 1.4425,                 1.6472,                0.71691,                0.69188,                0.74575,                 0.3925,                 1.5782,                 1.2321,                  1.911,              0.0023957,              0.0023957,              0.0023957
                     10,                 1.2772,                 1.4001,                 1.6364,                0.73204,                 0.7119,                0.77602,                 0.4223,                 1.5532,                 1.2178,                 1.8919,              0.0023208,              0.0023208,              0.0023208
                     11,                 1.2592,                 1.3766,                  1.619,                0.75083,                0.71635,                0.78054,                 0.3902,                 1.6413,                 1.2169,                 1.9618,              0.0022459,              0.0022459,              0.0022459
                     12,                 1.2497,                  1.335,                 1.6057,                0.71196,                0.69744,                0.74807,                0.39052,                 1.6135,                 1.2569,                 1.9399,              0.0021711,              0.0021711,              0.0021711
                     13,                 1.2404,                 1.3215,                 1.6026,                0.75775,                0.71326,                0.78169,                0.41963,                 1.5714,                 1.1607,                  1.902,              0.0020962,              0.0020962,              0.0020962
                     14,                 1.2188,                 1.3051,                 1.5865,                0.77879,                0.68521,                0.78144,                0.41099,                 1.5944,                 1.1372,                 1.9071,              0.0020213,              0.0020213,              0.0020213
                     15,                 1.2247,                 1.2807,                 1.5855,                0.76185,                0.73415,                0.78348,                0.39351,                 1.6623,                 1.1592,                 1.9954,              0.0019465,              0.0019465,              0.0019465
                     16,                 1.2091,                 1.2647,                 1.5695,                0.75417,                0.71323,                0.76372,                0.39795,                 1.6101,                 1.1534,                 1.9652,              0.0018716,              0.0018716,              0.0018716
