                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4325,                 1.8808,                 1.7721,                  0.567,                0.55506,                0.57444,                0.23449,                 1.8301,                 1.7544,                 2.1903,               0.067163,             0.00048185,             0.00048185
                      2,                 1.4309,                 1.7483,                 1.7739,                0.62862,                 0.6218,                 0.6456,                 0.2926,                 1.8006,                 1.5627,                 2.1388,               0.034306,             0.00095839,             0.00095839
                      3,                 1.4334,                 1.7017,                 1.7684,                0.67998,                0.66296,                0.69661,                0.33588,                 1.7502,                 1.4405,                 2.0519,              0.0014435,              0.0014294,              0.0014294
                      4,                 1.3942,                 1.6247,                 1.7348,                0.62028,                 0.6663,                0.66974,                0.30935,                  1.771,                 1.5095,                 2.1038,              0.0014214,              0.0014214,              0.0014214
                      5,                   1.36,                  1.564,                 1.7065,                0.69862,                0.68521,                 0.7227,                0.34446,                 1.7019,                 1.4484,                 2.0554,              0.0014131,              0.0014131,              0.0014131
                      6,                 1.3348,                 1.5143,                 1.6909,                 0.6496,                 0.6867,                0.68097,                0.32574,                  1.722,                 1.4204,                 2.0712,              0.0014048,              0.0014048,              0.0014048
                      7,                 1.3109,                 1.4805,                 1.6656,                0.70255,                0.70857,                 0.7683,                 0.3701,                 1.7183,                 1.2758,                 2.0152,              0.0013966,              0.0013966,              0.0013966
                      8,                 1.2943,                   1.44,                 1.6507,                0.72784,                0.73478,                0.78392,                0.39463,                   1.64,                 1.2175,                 1.9817,              0.0013883,              0.0013883,              0.0013883
                      9,                 1.2859,                 1.4266,                 1.6365,                0.73335,                0.69749,                0.76093,                0.39837,                 1.5875,                 1.1999,                 1.9096,                0.00138,                0.00138,                0.00138
                     10,                 1.2736,                 1.3908,                 1.6338,                0.74353,                 0.7208,                0.77151,                0.41867,                  1.559,                 1.2043,                 1.9035,              0.0013718,              0.0013718,              0.0013718
                     11,                 1.2567,                 1.3603,                 1.6153,                0.73663,                0.72859,                0.78164,                 0.4069,                 1.5996,                 1.1996,                 1.9069,              0.0013635,              0.0013635,              0.0013635
                     12,                 1.2545,                 1.3483,                 1.6116,                0.73312,                0.72636,                0.76453,                0.40755,                 1.5696,                 1.1898,                 1.8935,              0.0013553,              0.0013553,              0.0013553
                     13,                 1.2421,                 1.3324,                 1.6053,                0.73187,                0.69633,                0.76148,                0.39202,                 1.6236,                 1.2078,                  1.959,               0.001347,               0.001347,               0.001347
                     14,                 1.2282,                 1.3115,                 1.5904,                0.78182,                0.70549,                0.78021,                0.41917,                 1.6137,                 1.1165,                 1.9329,              0.0013387,              0.0013387,              0.0013387
                     15,                 1.2275,                 1.2946,                 1.5883,                0.78744,                0.68854,                0.78333,                0.41711,                  1.619,                  1.153,                 1.9493,              0.0013305,              0.0013305,              0.0013305
                     16,                 1.2224,                 1.2818,                 1.5787,                0.76928,                0.72323,                0.77902,                0.41126,                 1.6066,                 1.1349,                 1.9315,              0.0013222,              0.0013222,              0.0013222
                     17,                 1.2105,                 1.2736,                 1.5764,                0.77555,                0.74527,                0.78742,                0.43365,                 1.5205,                 1.1006,                 1.8378,              0.0013139,              0.0013139,              0.0013139
                     18,                 1.1918,                 1.2517,                  1.565,                0.77323,                0.73961,                0.80195,                0.42941,                  1.593,                 1.1023,                 1.8948,              0.0013057,              0.0013057,              0.0013057
                     19,                 1.1918,                 1.2312,                 1.5535,                0.74764,                 0.7564,                0.80167,                 0.4414,                 1.5072,                 1.0697,                 1.8159,              0.0012974,              0.0012974,              0.0012974
                     20,                 1.1909,                 1.2376,                 1.5591,                0.74603,                0.78092,                 0.8079,                 0.4371,                 1.5482,                 1.0603,                 1.8732,              0.0012891,              0.0012891,              0.0012891
                     21,                 1.1896,                 1.2299,                 1.5559,                0.74674,                0.73081,                0.78968,                0.43399,                 1.5035,                 1.0927,                 1.8317,              0.0012809,              0.0012809,              0.0012809
                     22,                 1.1737,                 1.2113,                 1.5398,                0.79864,                0.75883,                0.81544,                0.44967,                  1.531,                 1.0642,                 1.8544,              0.0012726,              0.0012726,              0.0012726
                     23,                 1.1744,                 1.1959,                 1.5442,                0.75952,                0.75528,                0.80156,                0.43666,                 1.5473,                 1.0732,                 1.8568,              0.0012644,              0.0012644,              0.0012644
                     24,                 1.1709,                 1.1936,                 1.5314,                0.74974,                 0.7475,                0.81433,                0.44879,                 1.5093,                 1.0942,                 1.8418,              0.0012561,              0.0012561,              0.0012561
                     25,                 1.1655,                 1.1859,                  1.538,                0.76735,                0.74194,                0.81741,                0.44957,                 1.5623,                 1.0576,                 1.8654,              0.0012478,              0.0012478,              0.0012478
                     26,                 1.1513,                 1.1587,                 1.5243,                0.77142,                0.74305,                0.80064,                0.45769,                 1.4694,                 1.0339,                 1.8012,              0.0012396,              0.0012396,              0.0012396
                     27,                 1.1624,                  1.154,                 1.5286,                0.76092,                0.75083,                0.80677,                0.45749,                 1.4659,                 1.0336,                 1.7939,              0.0012313,              0.0012313,              0.0012313
                     28,                 1.1477,                 1.1378,                 1.5116,                0.75915,                0.75083,                0.80925,                0.43999,                 1.5443,                 1.0554,                 1.8842,               0.001223,               0.001223,               0.001223
                     29,                 1.1494,                 1.1428,                 1.5147,                0.76092,                0.76116,                0.80978,                0.45433,                  1.558,                 1.0303,                 1.8594,              0.0012148,              0.0012148,              0.0012148
                     30,                 1.1383,                 1.1339,                 1.5042,                0.76527,                0.75417,                 0.8211,                 0.4578,                 1.5266,                  1.031,                 1.8511,              0.0012065,              0.0012065,              0.0012065
                     31,                  1.137,                 1.1217,                 1.5049,                0.75902,                0.75677,                0.81954,                0.48468,                 1.4539,                 1.0143,                 1.7882,              0.0011982,              0.0011982,              0.0011982
                     32,                 1.1288,                 1.1166,                 1.4983,                0.78293,                0.76629,                0.82569,                0.48167,                 1.4449,                0.97154,                 1.7599,                0.00119,                0.00119,                0.00119
                     33,                 1.1131,                 1.0982,                 1.4849,                0.78862,                0.76307,                0.81754,                0.46841,                 1.5164,                 0.9844,                 1.8347,              0.0011817,              0.0011817,              0.0011817
                     34,                  1.122,                 1.1053,                 1.4885,                0.77534,                 0.7475,                0.82356,                0.46869,                 1.4596,                 1.0206,                  1.773,              0.0011735,              0.0011735,              0.0011735
                     35,                 1.1183,                 1.0989,                 1.4906,                0.79382,                 0.7475,                0.82871,                0.48467,                 1.4643,                0.98061,                 1.7706,              0.0011652,              0.0011652,              0.0011652
                     36,                 1.1136,                 1.0939,                 1.4892,                  0.786,                 0.7926,                 0.8391,                0.48955,                 1.4521,                0.94066,                 1.7627,              0.0011569,              0.0011569,              0.0011569
                     37,                 1.1219,                 1.1011,                 1.4928,                0.78049,                0.76863,                0.83113,                 0.4787,                 1.4835,                0.99443,                 1.8084,              0.0011487,              0.0011487,              0.0011487
                     38,                 1.1162,                 1.0712,                 1.4861,                0.79353,                0.77381,                0.84052,                0.48355,                 1.4692,                0.96264,                 1.7831,              0.0011404,              0.0011404,              0.0011404
                     39,                 1.1009,                  1.069,                 1.4758,                0.77733,                0.79199,                0.83619,                0.48292,                 1.4882,                0.95661,                  1.792,              0.0011321,              0.0011321,              0.0011321
                     40,                  1.095,                 1.0616,                 1.4713,                0.77433,                  0.802,                0.84129,                0.48393,                 1.5008,                0.96069,                 1.8032,              0.0011239,              0.0011239,              0.0011239
                     41,                 1.0969,                 1.0536,                 1.4655,                0.76547,                0.76863,                0.81792,                0.46976,                 1.4703,                 0.9669,                 1.7817,              0.0011156,              0.0011156,              0.0011156
                     42,                 1.0861,                 1.0423,                 1.4622,                0.78598,                0.77419,                0.83918,                0.48516,                 1.4863,                0.94823,                  1.801,              0.0011073,              0.0011073,              0.0011073
