                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4608,                 1.9185,                 1.8006,                0.60759,                0.57953,                0.58547,                0.24425,                 1.8968,                 1.7277,                 2.2151,               0.067449,             0.00076867,             0.00076867
                      2,                 1.4834,                  1.795,                 1.8064,                0.58385,                0.61735,                0.61526,                0.27973,                  1.794,                 1.7225,                 2.1317,               0.034847,              0.0014992,              0.0014992
                      3,                 1.4643,                  1.758,                 1.7986,                0.59324,                 0.6396,                 0.6419,                0.29178,                 1.7963,                 1.5304,                 2.1206,              0.0022055,              0.0021913,              0.0021913
                      4,                 1.4161,                 1.6474,                 1.7512,                0.65253,                0.58176,                0.63739,                0.29683,                 1.8466,                 1.5091,                 2.2324,               0.002134,               0.002134,               0.002134
                      5,                 1.3676,                 1.6003,                 1.7187,                0.67923,                0.68187,                0.71412,                0.36782,                 1.5845,                 1.4295,                 1.9263,              0.0020763,              0.0020763,              0.0020763
                      6,                 1.3478,                  1.523,                 1.6987,                0.69193,                0.65406,                 0.6978,                0.33257,                 1.7472,                 1.3785,                 2.0537,              0.0020186,              0.0020186,              0.0020186
                      7,                 1.3161,                 1.4993,                 1.6729,                0.67975,                0.72246,                0.74247,                0.35267,                 1.7216,                 1.2869,                 2.0189,              0.0019609,              0.0019609,              0.0019609
                      8,                 1.2993,                 1.4463,                 1.6561,                0.71699,                0.71858,                0.76094,                0.39904,                 1.6014,                 1.2513,                 1.9213,              0.0019033,              0.0019033,              0.0019033
                      9,                 1.2933,                 1.4302,                 1.6481,                0.75126,                0.69744,                0.76942,                0.38747,                 1.6539,                 1.2135,                 1.9371,              0.0018456,              0.0018456,              0.0018456
                     10,                 1.2762,                 1.3963,                 1.6383,                0.72906,                0.67049,                0.73346,                0.39716,                 1.5758,                 1.2708,                 1.9176,              0.0017879,              0.0017879,              0.0017879
                     11,                  1.254,                 1.3511,                 1.6114,                0.73933,                0.71302,                 0.7642,                0.40811,                 1.5826,                 1.1901,                 1.8945,              0.0017302,              0.0017302,              0.0017302
                     12,                 1.2497,                 1.3336,                 1.6037,                0.74237,                0.72119,                0.78614,                0.42029,                  1.576,                 1.1527,                 1.8821,              0.0016726,              0.0016726,              0.0016726
                     13,                 1.2351,                 1.3223,                 1.5983,                0.74945,                0.71524,                0.76755,                0.40659,                 1.6194,                 1.1888,                 1.9237,              0.0016149,              0.0016149,              0.0016149
