                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4413,                 1.8533,                 1.7669,                 0.5981,                0.55061,                0.58157,                0.27012,                 1.7335,                 1.7526,                 2.1173,               0.067202,             0.00052078,             0.00052078
                      2,                 1.4422,                  1.736,                 1.7755,                0.63545,                0.65149,                 0.6606,                0.28489,                 1.8354,                 1.6528,                 2.1694,               0.034363,              0.0010157,              0.0010157
                      3,                 1.4263,                 1.7012,                 1.7687,                0.67303,                0.65942,                0.69261,                0.30696,                 1.8138,                 1.4758,                 2.1413,              0.0014988,              0.0014846,              0.0014846
                      4,                 1.3892,                 1.6132,                 1.7309,                0.66698,                0.65072,                0.67714,                0.29324,                 1.8409,                 1.4866,                 2.2081,              0.0014458,              0.0014458,              0.0014458
                      5,                 1.3545,                 1.5559,                 1.7019,                0.66796,                0.68409,                0.73083,                0.36825,                 1.6263,                 1.4086,                 1.9814,              0.0014067,              0.0014067,              0.0014067
                      6,                   1.32,                 1.4848,                 1.6732,                0.68672,                0.67853,                0.72117,                0.35514,                 1.6716,                 1.3474,                 1.9891,              0.0013676,              0.0013676,              0.0013676
                      7,                 1.3067,                 1.4504,                  1.656,                0.69439,                0.71527,                0.75499,                0.35772,                 1.7319,                 1.2718,                 2.0137,              0.0013286,              0.0013286,              0.0013286
                      8,                 1.2833,                 1.4144,                 1.6393,                0.74698,                 0.7297,                0.78502,                0.38836,                 1.6736,                 1.2343,                 2.0025,              0.0012895,              0.0012895,              0.0012895
                      9,                 1.2712,                 1.3933,                 1.6255,                0.72669,                0.72859,                0.77568,                0.40809,                  1.614,                 1.1959,                 1.9125,              0.0012504,              0.0012504,              0.0012504
                     10,                 1.2557,                 1.3545,                 1.6176,                0.74309,                 0.7297,                0.77796,                0.42704,                 1.5376,                 1.1722,                 1.8699,              0.0012113,              0.0012113,              0.0012113
                     11,                 1.2402,                 1.3289,                 1.6025,                0.74836,                0.74861,                0.79237,                0.42207,                 1.5851,                  1.154,                 1.8899,              0.0011723,              0.0011723,              0.0011723
                     12,                 1.2295,                 1.3115,                 1.5937,                0.76132,                0.71746,                0.78631,                0.43395,                 1.5315,                 1.1502,                 1.8627,              0.0011332,              0.0011332,              0.0011332
                     13,                 1.2187,                 1.2888,                  1.585,                0.73646,                0.76752,                0.78971,                0.42741,                 1.5352,                 1.1354,                 1.8596,              0.0010941,              0.0010941,              0.0010941
                     14,                  1.194,                   1.26,                 1.5629,                0.76913,                0.72414,                0.78982,                0.42431,                 1.5677,                  1.093,                 1.8987,               0.001055,               0.001055,               0.001055
                     15,                  1.198,                 1.2447,                 1.5635,                 0.7727,                0.72636,                0.80506,                0.44317,                 1.5646,                  1.078,                 1.8771,               0.001016,               0.001016,               0.001016
                     16,                 1.1896,                 1.2272,                 1.5531,                0.76931,                0.76046,                0.80237,                0.44558,                 1.5424,                 1.0859,                 1.8702,              0.0009769,              0.0009769,              0.0009769
                     17,                 1.1702,                 1.2115,                 1.5434,                0.76053,                0.77976,                0.81341,                0.46026,                 1.4994,                 1.0503,                 1.8118,             0.00093782,             0.00093782,             0.00093782
                     18,                 1.1564,                 1.1925,                 1.5328,                0.76159,                0.77308,                0.82611,                 0.4747,                 1.4961,                 1.0406,                 1.8135,             0.00089875,             0.00089875,             0.00089875
                     19,                  1.155,                 1.1614,                 1.5222,                0.75621,                 0.7475,                0.80476,                0.45459,                 1.5112,                 1.0468,                 1.8075,             0.00085967,             0.00085967,             0.00085967
                     20,                 1.1426,                 1.1582,                 1.5232,                0.78848,                0.77125,                0.81708,                0.45451,                 1.5353,                 1.0421,                 1.8406,              0.0008206,              0.0008206,              0.0008206
                     21,                 1.1389,                 1.1545,                 1.5122,                0.73779,                0.77531,                0.80999,                0.47118,                 1.4477,                 1.0251,                 1.7903,             0.00078153,             0.00078153,             0.00078153
                     22,                 1.1271,                 1.1344,                 1.5025,                0.78774,                0.76784,                0.82553,                0.48151,                 1.4441,                 1.0139,                 1.7733,             0.00074245,             0.00074245,             0.00074245
                     23,                 1.1196,                 1.1222,                  1.502,                0.76556,                0.77976,                0.81977,                0.47098,                 1.4735,                0.99413,                 1.8029,             0.00070338,             0.00070338,             0.00070338
                     24,                 1.1079,                 1.1029,                 1.4818,                0.77923,                 0.7475,                0.81923,                0.46686,                 1.4781,                 1.0066,                 1.8087,              0.0006643,              0.0006643,              0.0006643
                     25,                 1.1024,                  1.097,                 1.4891,                0.78866,                0.75549,                0.81443,                0.46806,                 1.4828,                0.98908,                 1.7961,             0.00062523,             0.00062523,             0.00062523
                     26,                 1.0797,                 1.0614,                 1.4694,                0.80089,                 0.7386,                0.81365,                0.47571,                 1.4408,                0.97362,                 1.7778,             0.00058615,             0.00058615,             0.00058615
                     27,                 1.0877,                 1.0556,                 1.4745,                  0.788,                0.77197,                 0.8365,                0.47361,                  1.487,                0.97504,                 1.8025,             0.00054708,             0.00054708,             0.00054708
                     28,                 1.0681,                 1.0401,                 1.4519,                0.75082,                0.79199,                0.82057,                0.47184,                  1.469,                0.98536,                 1.7963,             0.00050801,             0.00050801,             0.00050801
