                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  2.253,                 10.519,                 1.8076,                0.39147,                0.40601,                0.30738,                0.15133,                 1.9203,                 10.237,                 1.6079,               0.090057,             2.8785e-06,             2.8785e-06
                      2,                 2.1502,                 9.9888,                 1.7621,                0.45026,                0.44271,                0.36528,                0.17981,                 1.8759,                  9.466,                 1.5622,                0.08006,             5.6765e-06,             5.6765e-06
                      3,                 2.1527,                  9.652,                  1.748,                0.48134,                0.44939,                0.38838,                0.19099,                 1.9034,                 9.1044,                 1.5584,               0.070063,             8.3781e-06,             8.3781e-06
