                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4687,                  1.911,                 1.8074,                0.56846,                0.56618,                0.55877,                0.22867,                 1.8708,                 1.8026,                 2.2203,               0.067478,             0.00079723,             0.00079723
                      2,                 1.4896,                 1.8094,                 1.8182,                0.63376,                0.60178,                0.62266,                 0.2437,                 1.9821,                 1.7057,                 2.3233,               0.034902,              0.0015549,              0.0015549
                      3,                 1.4638,                 1.7639,                 1.7949,                0.62213,                0.62449,                0.65195,                0.29895,                 1.7378,                  1.523,                 2.0796,              0.0022869,              0.0022728,              0.0022728
                      4,                 1.4162,                 1.6626,                 1.7541,                0.64038,                0.60811,                0.63076,                0.28303,                 1.7884,                 1.6227,                 2.1394,              0.0022133,              0.0022133,              0.0022133
                      5,                 1.3792,                 1.6055,                 1.7221,                0.63864,                0.68076,                0.67674,                 0.3377,                 1.6232,                  1.506,                 1.9662,              0.0021534,              0.0021534,              0.0021534
                      6,                 1.3561,                 1.5449,                 1.7035,                0.64065,                0.64182,                0.62721,                 0.2821,                 1.8422,                 1.5659,                 2.1992,              0.0020936,              0.0020936,              0.0020936
                      7,                 1.3325,                 1.5129,                  1.682,                0.69491,                0.71635,                0.71659,                0.33049,                 1.7717,                 1.3304,                 2.0734,              0.0020338,              0.0020338,              0.0020338
                      8,                  1.312,                 1.4732,                 1.6677,                0.73206,                0.67519,                0.72476,                0.33968,                 1.7162,                 1.3604,                 2.0729,               0.001974,               0.001974,               0.001974
                      9,                 1.3012,                 1.4494,                 1.6543,                0.70094,                0.69633,                0.72649,                0.37073,                 1.6872,                 1.2615,                 2.0066,              0.0019142,              0.0019142,              0.0019142
                     10,                 1.2828,                 1.4246,                 1.6433,                0.72092,                0.67408,                0.74447,                0.39971,                 1.5839,                  1.275,                 1.9162,              0.0018544,              0.0018544,              0.0018544
                     11,                 1.2686,                 1.3942,                 1.6251,                0.72977,                0.70594,                0.75082,                0.38808,                 1.6172,                 1.2761,                 1.9469,              0.0017945,              0.0017945,              0.0017945
                     12,                 1.2655,                 1.3689,                 1.6205,                0.72932,                0.70189,                0.76482,                0.39656,                 1.6045,                 1.2213,                 1.9132,              0.0017347,              0.0017347,              0.0017347
                     13,                 1.2464,                 1.3627,                 1.6118,                0.70946,                 0.7297,                0.76616,                0.39905,                 1.6132,                 1.2063,                 1.9351,              0.0016749,              0.0016749,              0.0016749
                     14,                 1.2306,                 1.3402,                 1.5986,                0.75062,                0.70646,                0.76951,                 0.4127,                  1.569,                 1.1607,                 1.8853,              0.0016151,              0.0016151,              0.0016151
                     15,                 1.2408,                  1.309,                  1.599,                0.71477,                0.74704,                0.76531,                0.39359,                 1.6997,                 1.1718,                 2.0111,              0.0015553,              0.0015553,              0.0015553
                     16,                 1.2294,                 1.3037,                 1.5858,                0.78067,                0.72191,                0.79275,                0.42534,                  1.588,                 1.1307,                 1.9002,              0.0014954,              0.0014954,              0.0014954
                     17,                 1.2114,                 1.2942,                   1.58,                0.74472,                0.73336,                0.78465,                0.43422,                 1.5465,                 1.1079,                 1.8475,              0.0014356,              0.0014356,              0.0014356
                     18,                 1.2067,                 1.2666,                 1.5742,                0.73805,                0.76752,                0.80104,                0.43678,                 1.5749,                 1.0874,                 1.8665,              0.0013758,              0.0013758,              0.0013758
                     19,                 1.2008,                 1.2386,                  1.562,                0.73356,                0.74638,                0.80086,                0.43368,                 1.5529,                 1.0911,                 1.8545,               0.001316,               0.001316,               0.001316
