                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.437,                 1.8636,                 1.7677,                0.62266,                 0.5892,                0.62138,                0.27012,                 1.7586,                 1.7062,                 2.1116,               0.067194,             0.00051324,             0.00051324
                      2,                 1.4462,                 1.7357,                 1.7703,                0.62944,                0.64997,                0.63938,                0.25917,                 1.9045,                 1.7154,                  2.199,               0.034364,              0.0010164,              0.0010164
                      3,                 1.4352,                 1.7003,                  1.766,                0.65274,                0.64739,                0.67624,                0.29564,                 1.8107,                 1.4765,                  2.127,              0.0015235,              0.0015093,              0.0015093
                      4,                 1.3931,                 1.6257,                 1.7353,                0.65299,                 0.6719,                0.70531,                0.34769,                 1.7063,                 1.4497,                 2.0473,              0.0014942,              0.0014942,              0.0014942
                      5,                 1.3584,                 1.5649,                  1.707,                 0.6919,                0.66518,                 0.7133,                0.33605,                 1.7345,                 1.4133,                 2.0624,              0.0014788,              0.0014788,              0.0014788
                      6,                 1.3264,                 1.4964,                 1.6774,                0.64193,                0.63181,                0.63777,                0.27067,                 1.8952,                 1.5401,                 2.2606,              0.0014633,              0.0014633,              0.0014633
                      7,                  1.313,                 1.4769,                 1.6664,                0.67716,                0.71524,                0.72642,                0.32818,                 1.7999,                 1.3161,                  2.091,              0.0014479,              0.0014479,              0.0014479
                      8,                 1.2915,                 1.4232,                 1.6428,                0.72884,                0.70523,                0.76482,                0.37385,                  1.696,                 1.2682,                 2.0297,              0.0014325,              0.0014325,              0.0014325
                      9,                 1.2852,                 1.4077,                 1.6369,                0.74136,                  0.703,                0.76699,                0.39031,                 1.6671,                 1.1991,                 1.9689,              0.0014171,              0.0014171,              0.0014171
                     10,                 1.2667,                 1.3801,                 1.6285,                0.71897,                0.70574,                 0.7655,                0.40905,                 1.5963,                  1.213,                 1.9464,              0.0014017,              0.0014017,              0.0014017
                     11,                  1.252,                 1.3455,                  1.612,                0.74964,                0.71524,                0.76478,                 0.3895,                 1.6531,                 1.1769,                 1.9458,              0.0013863,              0.0013863,              0.0013863
                     12,                 1.2515,                 1.3269,                 1.6064,                0.71949,                0.69299,                0.75981,                0.39345,                 1.6074,                 1.2077,                 1.9119,              0.0013709,              0.0013709,              0.0013709
                     13,                 1.2374,                 1.3163,                    1.6,                0.73342,                0.73415,                0.77369,                0.42046,                 1.5654,                 1.1519,                 1.9005,              0.0013555,              0.0013555,              0.0013555
                     14,                  1.216,                 1.2894,                  1.581,                0.74998,                 0.7475,                0.80316,                0.43684,                 1.5438,                  1.083,                 1.8661,              0.0013401,              0.0013401,              0.0013401
                     15,                  1.219,                 1.2728,                 1.5809,                0.74828,                0.73304,                0.77695,                0.39741,                 1.6412,                 1.1402,                 1.9693,              0.0013247,              0.0013247,              0.0013247
                     16,                 1.2137,                 1.2602,                 1.5703,                0.75777,                0.76863,                0.79997,                0.42215,                 1.5861,                 1.0956,                  1.912,              0.0013093,              0.0013093,              0.0013093
                     17,                 1.1986,                 1.2519,                 1.5689,                 0.7177,                0.78052,                0.80186,                0.45688,                 1.4981,                   1.07,                 1.8068,              0.0012939,              0.0012939,              0.0012939
                     18,                 1.1821,                 1.2288,                 1.5567,                0.73581,                0.74861,                0.79812,                0.43727,                 1.5645,                 1.0729,                 1.8715,              0.0012785,              0.0012785,              0.0012785
                     19,                 1.1835,                 1.2061,                 1.5468,                0.75666,                0.77824,                0.80902,                0.45526,                 1.4869,                 1.0686,                 1.8038,              0.0012631,              0.0012631,              0.0012631
                     20,                  1.172,                   1.21,                 1.5466,                0.76891,                 0.7475,                0.82587,                0.45169,                  1.533,                 1.0632,                 1.8431,              0.0012477,              0.0012477,              0.0012477
                     21,                 1.1727,                 1.1978,                 1.5389,                0.76442,                0.74194,                0.81439,                0.45996,                 1.4763,                 1.0425,                 1.8062,              0.0012323,              0.0012323,              0.0012323
                     22,                 1.1647,                 1.1823,                 1.5309,                0.79437,                0.73971,                0.82502,                0.46618,                  1.474,                 1.0317,                 1.8006,              0.0012169,              0.0012169,              0.0012169
                     23,                 1.1567,                 1.1707,                 1.5291,                0.74342,                0.77349,                 0.8034,                0.45487,                 1.5004,                 1.0386,                 1.8287,              0.0012015,              0.0012015,              0.0012015
                     24,                 1.1465,                 1.1549,                 1.5184,                0.75945,                0.75862,                0.82205,                0.46986,                 1.4808,                 1.0412,                 1.8065,              0.0011861,              0.0011861,              0.0011861
                     25,                 1.1399,                 1.1562,                  1.517,                0.74593,                0.77531,                  0.813,                 0.4482,                 1.5578,                 1.0305,                 1.8669,              0.0011707,              0.0011707,              0.0011707
                     26,                 1.1222,                 1.1166,                 1.5002,                0.76535,                0.77531,                0.81652,                0.46999,                 1.4563,                 1.0201,                 1.8006,              0.0011553,              0.0011553,              0.0011553
                     27,                 1.1353,                 1.1186,                  1.509,                0.76011,                0.75195,                0.81445,                0.45076,                 1.5209,                 1.0495,                 1.8482,              0.0011399,              0.0011399,              0.0011399
                     28,                 1.1158,                 1.0947,                 1.4886,                0.78241,                0.77196,                0.81902,                0.45983,                 1.4973,                 1.0218,                 1.8253,              0.0011245,              0.0011245,              0.0011245
                     29,                 1.1153,                    1.1,                 1.4884,                0.76755,                0.76529,                0.81338,                 0.4448,                 1.5644,                 1.0331,                 1.8849,              0.0011091,              0.0011091,              0.0011091
                     30,                 1.1126,                 1.0807,                 1.4852,                0.75591,                0.77162,                0.81799,                0.47572,                 1.4648,                 1.0068,                  1.785,              0.0010937,              0.0010937,              0.0010937
                     31,                 1.1071,                 1.0825,                 1.4819,                0.79942,                0.75862,                0.83317,                0.47863,                  1.481,                0.97105,                  1.799,              0.0010783,              0.0010783,              0.0010783
                     32,                 1.1047,                 1.0778,                 1.4795,                0.78429,                0.78864,                0.82878,                0.47445,                 1.4771,                0.97691,                 1.7897,              0.0010629,              0.0010629,              0.0010629
                     33,                 1.0805,                 1.0555,                 1.4607,                0.79223,                0.76346,                0.83604,                0.48113,                 1.4746,                0.97845,                 1.8043,              0.0010475,              0.0010475,              0.0010475
                     34,                 1.0949,                 1.0586,                 1.4654,                0.81311,                0.75497,                0.83842,                0.47699,                  1.498,                0.96464,                 1.8304,               0.001032,               0.001032,               0.001032
                     35,                 1.0875,                 1.0561,                 1.4658,                0.77588,                0.76631,                0.83335,                0.47472,                  1.482,                0.97135,                 1.8173,              0.0010166,              0.0010166,              0.0010166
                     36,                 1.0776,                 1.0443,                 1.4591,                0.80047,                0.77976,                0.83189,                0.48604,                 1.4452,                0.95606,                 1.7666,              0.0010012,              0.0010012,              0.0010012
                     37,                 1.0847,                 1.0466,                  1.463,                 0.7662,                0.79422,                0.83789,                0.49522,                 1.4399,                0.96101,                 1.7684,             0.00098584,             0.00098584,             0.00098584
                     38,                  1.075,                 1.0215,                 1.4583,                0.80952,                0.77419,                0.84423,                 0.4915,                 1.4581,                0.93829,                 1.7817,             0.00097043,             0.00097043,             0.00097043
                     39,                 1.0517,                 1.0156,                 1.4423,                0.77938,                0.78593,                0.83545,                0.49059,                 1.4497,                0.95653,                 1.7784,             0.00095503,             0.00095503,             0.00095503
                     40,                  1.056,                  1.007,                   1.44,                0.77327,                0.78911,                0.83257,                0.47991,                 1.5059,                 0.9482,                 1.8372,             0.00093963,             0.00093963,             0.00093963
                     41,                 1.0585,                0.99878,                 1.4362,                 0.8073,                0.76196,                0.83907,                 0.4854,                 1.4702,                0.94414,                 1.7904,             0.00092422,             0.00092422,             0.00092422
                     42,                 1.0431,                0.99224,                 1.4292,                0.79392,                0.78087,                0.83855,                0.49168,                 1.4707,                0.94656,                 1.8025,             0.00090882,             0.00090882,             0.00090882
                     43,                 1.0514,                 1.0011,                 1.4367,                0.78756,                0.78309,                0.84343,                0.49285,                 1.4653,                0.90837,                 1.7888,             0.00089342,             0.00089342,             0.00089342
                     44,                 1.0454,                0.98427,                 1.4305,                0.77073,                0.81142,                0.84465,                0.49615,                 1.4626,                0.91415,                 1.7875,             0.00087801,             0.00087801,             0.00087801
                     45,                 1.0374,                0.96457,                 1.4205,                0.78738,                0.77976,                0.83808,                0.49325,                 1.4492,                0.93087,                 1.7801,             0.00086261,             0.00086261,             0.00086261
                     46,                 1.0299,                0.97036,                 1.4188,                0.79334,                0.81134,                0.85228,                0.50148,                 1.4468,                 0.9035,                 1.7753,              0.0008472,              0.0008472,              0.0008472
                     47,                 1.0304,                0.97237,                  1.419,                0.79424,                0.79865,                0.84355,                0.49883,                 1.4568,                 0.9057,                 1.7842,              0.0008318,              0.0008318,              0.0008318
                     48,                 1.0215,                0.95869,                 1.4132,                0.83605,                0.77143,                0.85068,                0.50835,                 1.4494,                0.88145,                 1.7783,              0.0008164,              0.0008164,              0.0008164
                     49,                 1.0287,                0.95801,                 1.4169,                0.83194,                0.76529,                0.84515,                0.50328,                  1.436,                0.89829,                 1.7653,             0.00080099,             0.00080099,             0.00080099
                     50,                 1.0256,                 0.9489,                 1.4142,                0.79776,                0.77976,                0.83239,                0.49383,                  1.463,                0.92112,                 1.7979,             0.00078559,             0.00078559,             0.00078559
                     51,                 1.0124,                0.94602,                 1.4033,                0.80078,                0.78532,                0.83699,                  0.499,                 1.4575,                 0.9022,                 1.7921,             0.00077019,             0.00077019,             0.00077019
                     52,                 1.0102,                0.94243,                  1.406,                0.81608,                0.76307,                0.84725,                0.50683,                 1.4389,                0.89559,                 1.7735,             0.00075478,             0.00075478,             0.00075478
                     53,                 1.0061,                0.92632,                 1.3964,                0.81181,                0.77308,                0.84752,                0.50738,                 1.4354,                0.91025,                 1.7711,             0.00073938,             0.00073938,             0.00073938
                     54,                0.99962,                0.92714,                 1.3951,                0.78973,                 0.7842,                0.83799,                0.50399,                 1.4413,                0.91431,                  1.784,             0.00072398,             0.00072398,             0.00072398
                     55,                 1.0028,                0.92727,                 1.3963,                0.83023,                0.76529,                0.84758,                0.50849,                 1.4404,                0.90332,                 1.7807,             0.00070857,             0.00070857,             0.00070857
                     56,                0.98932,                0.90461,                 1.3822,                0.80815,                0.79657,                 0.8563,                0.50727,                 1.4446,                0.88787,                 1.7891,             0.00069317,             0.00069317,             0.00069317
                     57,                0.98511,                0.90733,                 1.3836,                0.80046,                0.78865,                0.84787,                0.50498,                  1.432,                 0.9079,                 1.7721,             0.00067776,             0.00067776,             0.00067776
                     58,                0.98902,                0.90435,                 1.3816,                0.80823,                0.77197,                0.83658,                0.49814,                 1.4323,                0.91095,                 1.7751,             0.00066236,             0.00066236,             0.00066236
                     59,                0.98888,                0.89046,                 1.3754,                0.81318,                0.78439,                0.84243,                0.50403,                 1.4379,                0.90108,                 1.7842,             0.00064696,             0.00064696,             0.00064696
                     60,                0.97361,                 0.8887,                 1.3682,                0.79636,                0.78532,                0.83599,                0.50328,                 1.4244,                0.89895,                 1.7688,             0.00063155,             0.00063155,             0.00063155
                     61,                0.98751,                0.89038,                 1.3809,                0.79733,                0.80311,                0.84566,                0.50551,                 1.4295,                0.88673,                 1.7819,             0.00061615,             0.00061615,             0.00061615
                     62,                0.97955,                0.88948,                 1.3766,                0.79359,                0.79117,                0.84122,                0.50381,                 1.4433,                 0.8955,                 1.7933,             0.00060075,             0.00060075,             0.00060075
                     63,                0.97388,                0.87703,                 1.3709,                0.80906,                0.78087,                0.84729,                0.50855,                 1.4388,                0.89207,                 1.7903,             0.00058534,             0.00058534,             0.00058534
                     64,                0.97749,                0.88231,                 1.3665,                0.82568,                0.76418,                0.84579,                0.50701,                 1.4383,                0.89179,                  1.787,             0.00056994,             0.00056994,             0.00056994
                     65,                0.96391,                0.87519,                 1.3603,                0.82103,                0.78074,                0.84462,                 0.5076,                 1.4329,                0.89575,                 1.7889,             0.00055454,             0.00055454,             0.00055454
                     66,                0.95127,                0.86698,                 1.3565,                0.81404,                0.78394,                0.84136,                0.50561,                 1.4383,                0.89744,                 1.7969,             0.00053913,             0.00053913,             0.00053913
                     67,                0.95393,                0.85732,                 1.3578,                0.81114,                0.77874,                 0.8436,                 0.5083,                 1.4334,                0.89729,                 1.7853,             0.00052373,             0.00052373,             0.00052373
                     68,                0.95005,                0.85165,                 1.3504,                0.80099,                0.78754,                0.84299,                0.51125,                 1.4176,                0.89679,                 1.7727,             0.00050832,             0.00050832,             0.00050832
                     69,                0.95511,                0.86251,                 1.3576,                0.80638,                0.78643,                0.84323,                0.50588,                 1.4258,                0.89168,                 1.7857,             0.00049292,             0.00049292,             0.00049292
                     70,                0.94684,                0.84856,                  1.347,                0.80853,                0.77974,                0.83681,                0.50174,                 1.4314,                0.90288,                  1.793,             0.00047752,             0.00047752,             0.00047752
                     71,                0.94212,                0.84188,                 1.3469,                0.80798,                0.77308,                0.83951,                0.50436,                 1.4353,                0.89743,                 1.8024,             0.00046211,             0.00046211,             0.00046211
                     72,                0.93748,                0.84538,                 1.3397,                0.80034,                0.79644,                0.84605,                0.50796,                 1.4346,                0.88832,                 1.8006,             0.00044671,             0.00044671,             0.00044671
                     73,                0.93615,                0.83923,                 1.3387,                 0.8045,                0.79191,                0.84969,                0.51015,                 1.4339,                0.88063,                  1.795,             0.00043131,             0.00043131,             0.00043131
                     74,                0.92661,                0.82574,                  1.332,                0.81818,                0.78198,                0.84955,                0.51092,                 1.4299,                0.87686,                 1.7914,              0.0004159,              0.0004159,              0.0004159
                     75,                0.92756,                0.83476,                 1.3371,                0.81949,                 0.7931,                0.85062,                0.51198,                 1.4271,                0.87717,                 1.7866,              0.0004005,              0.0004005,              0.0004005
                     76,                0.92399,                0.82665,                 1.3305,                0.81104,                  0.802,                0.84902,                0.51332,                 1.4212,                0.87668,                 1.7807,              0.0003851,              0.0003851,              0.0003851
                     77,                0.92237,                0.83032,                 1.3345,                0.80177,                  0.802,                0.84709,                0.51533,                 1.4189,                0.87244,                 1.7801,             0.00036969,             0.00036969,             0.00036969
                     78,                 0.9251,                0.82413,                 1.3333,                0.79636,                0.79533,                0.84617,                0.51277,                 1.4143,                0.86601,                  1.775,             0.00035429,             0.00035429,             0.00035429
                     79,                0.91346,                0.81081,                 1.3238,                0.80128,                0.80285,                0.84471,                0.51298,                 1.4157,                 0.8634,                 1.7784,             0.00033888,             0.00033888,             0.00033888
                     80,                0.91813,                0.81497,                 1.3256,                0.80988,                0.78658,                0.84222,                0.51435,                 1.4165,                0.86465,                 1.7819,             0.00032348,             0.00032348,             0.00032348
                     81,                0.91575,                0.81302,                 1.3254,                0.79697,                0.79468,                0.84181,                0.51294,                 1.4143,                0.86513,                 1.7815,             0.00030808,             0.00030808,             0.00030808
                     82,                 0.9124,                0.81053,                 1.3191,                0.77333,                0.82314,                0.84179,                0.51398,                 1.4121,                0.86745,                 1.7788,             0.00029267,             0.00029267,             0.00029267
                     83,                0.91141,                0.80046,                 1.3247,                0.77734,                0.82091,                0.84256,                 0.5152,                 1.4121,                0.86882,                 1.7769,             0.00027727,             0.00027727,             0.00027727
                     84,                0.90806,                0.80878,                 1.3146,                 0.7901,                0.81646,                0.84551,                0.51461,                 1.4155,                0.86757,                 1.7827,             0.00026187,             0.00026187,             0.00026187
                     85,                0.90685,                0.80371,                 1.3194,                0.79145,                0.81473,                0.84433,                0.51319,                 1.4187,                0.86726,                 1.7874,             0.00024646,             0.00024646,             0.00024646
                     86,                0.90077,                0.79844,                 1.3189,                0.79137,                0.81011,                0.84416,                0.51234,                 1.4209,                0.86737,                 1.7901,             0.00023106,             0.00023106,             0.00023106
                     87,                0.89552,                 0.7897,                 1.3145,                0.79041,                0.80542,                0.84305,                 0.5125,                 1.4238,                0.86898,                 1.7928,             0.00021566,             0.00021566,             0.00021566
                     88,                0.89696,                0.78745,                 1.3117,                0.79273,                0.80645,                0.84314,                0.51141,                 1.4279,                0.86887,                 1.7975,             0.00020025,             0.00020025,             0.00020025
                     89,                0.89414,                0.79929,                 1.3108,                0.79263,                 0.8036,                0.84254,                0.51341,                 1.4304,                0.86579,                 1.8002,             0.00018485,             0.00018485,             0.00018485
                     90,                0.89479,                0.79023,                 1.3112,                0.79195,                0.79533,                0.84344,                0.51411,                 1.4304,                0.86463,                 1.8001,             0.00016944,             0.00016944,             0.00016944
                     91,                0.84637,                0.55054,                 1.3392,                0.80878,                0.79199,                0.84369,                0.51553,                 1.4296,                0.86256,                 1.7977,             0.00015404,             0.00015404,             0.00015404
                     92,                0.83056,                0.52283,                 1.3196,                0.81245,                0.79644,                0.84403,                0.51583,                 1.4286,                0.86272,                 1.7949,             0.00013864,             0.00013864,             0.00013864
                     93,                0.81773,                0.51669,                 1.3054,                0.79919,                0.80423,                0.84324,                  0.516,                 1.4278,                0.86349,                 1.7943,             0.00012323,             0.00012323,             0.00012323
                     94,                0.81058,                 0.5057,                 1.3063,                0.80069,                0.79533,                0.84442,                0.51626,                 1.4254,                0.86472,                 1.7913,             0.00010783,             0.00010783,             0.00010783
                     95,                0.80252,                0.50233,                  1.292,                0.78644,                0.81646,                 0.8453,                0.51772,                 1.4241,                0.86325,                 1.7905,             9.2427e-05,             9.2427e-05,             9.2427e-05
                     96,                 0.7963,                0.49587,                 1.2912,                0.79213,                0.81385,                0.84551,                0.51742,                  1.422,                0.86101,                 1.7892,             7.7023e-05,             7.7023e-05,             7.7023e-05
                     97,                 0.7909,                0.49732,                 1.2859,                0.80238,                0.80841,                0.84513,                0.51875,                 1.4217,                0.85962,                 1.7901,             6.1619e-05,             6.1619e-05,             6.1619e-05
                     98,                0.79648,                0.49306,                 1.2891,                0.80395,                0.80645,                0.84555,                0.51885,                 1.4223,                0.85787,                 1.7914,             4.6216e-05,             4.6216e-05,             4.6216e-05
                     99,                0.78242,                0.48702,                 1.2815,                 0.8031,                0.81211,                0.84513,                0.51904,                  1.423,                 0.8574,                 1.7924,             3.0812e-05,             3.0812e-05,             3.0812e-05
                    100,                0.78658,                0.48693,                 1.2829,                 0.8041,                0.81313,                0.84405,                  0.519,                 1.4233,                0.85684,                 1.7935,             1.5408e-05,             1.5408e-05,             1.5408e-05
