                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4151,                  1.855,                 1.7513,                0.57632,                0.61513,                0.61766,                0.25824,                 1.8289,                 1.6869,                 2.1603,               0.067043,             0.00036239,             0.00036239
                      2,                 1.4002,                 1.7039,                 1.7441,                0.64416,                0.63737,                0.64762,                0.26564,                 1.9458,                  1.571,                 2.2875,               0.034054,              0.0007068,              0.0007068
                      3,                 1.3893,                 1.6537,                 1.7325,                0.65815,                0.70745,                0.72203,                0.34655,                  1.704,                  1.407,                 2.0248,              0.0010472,              0.0010331,              0.0010331
                      4,                 1.3689,                 1.5776,                 1.7147,                 0.6724,                0.69855,                0.73081,                0.35348,                 1.7014,                 1.3783,                 2.0496,               0.001006,               0.001006,               0.001006
                      5,                 1.3279,                 1.5289,                 1.6878,                0.69564,                0.70745,                0.74193,                0.39043,                   1.58,                 1.3531,                 1.9325,             0.00097886,             0.00097886,             0.00097886
                      6,                 1.3037,                 1.4672,                  1.669,                0.65034,                0.71377,                0.71539,                0.35833,                 1.6495,                 1.3489,                 1.9949,             0.00095167,             0.00095167,             0.00095167
                      7,                  1.288,                 1.4385,                 1.6479,                0.71875,                0.71079,                0.76873,                0.37313,                 1.6785,                 1.2756,                   1.98,             0.00092448,             0.00092448,             0.00092448
                      8,                 1.2608,                 1.3913,                 1.6229,                0.72836,                0.72414,                0.77967,                0.41046,                 1.5783,                 1.1709,                   1.93,             0.00089729,             0.00089729,             0.00089729
                      9,                 1.2554,                 1.3766,                 1.6168,                0.76939,                 0.7348,                0.79652,                0.42775,                 1.5731,                 1.1266,                 1.8769,              0.0008701,              0.0008701,              0.0008701
                     10,                  1.239,                 1.3371,                 1.6073,                0.73413,                0.71256,                0.76141,                0.43277,                 1.5139,                 1.1902,                 1.8747,             0.00084291,             0.00084291,             0.00084291
