                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.444,                 1.8722,                 1.7731,                0.61272,                0.54505,                0.59625,                0.28054,                 1.7431,                 1.6859,                 2.0866,               0.067219,             0.00053783,             0.00053783
                      2,                 1.4476,                 1.7416,                 1.7754,                0.62384,                0.61061,                0.62348,                0.25614,                  1.919,                 1.6281,                 2.2501,               0.034413,              0.0010651,              0.0010651
                      3,                 1.4345,                 1.7005,                 1.7698,                0.66852,                0.67186,                0.68888,                0.30094,                 1.8589,                 1.4988,                 2.1804,              0.0015958,              0.0015817,              0.0015817
                      4,                 1.3953,                 1.6214,                 1.7332,                0.61092,                0.62848,                0.62342,                0.28625,                  1.781,                 1.5705,                 2.1454,              0.0015657,              0.0015657,              0.0015657
                      5,                 1.3606,                 1.5624,                  1.704,                0.69433,                 0.6544,                0.70723,                0.34629,                 1.6912,                 1.4519,                 2.0235,              0.0015496,              0.0015496,              0.0015496
                      6,                 1.3308,                 1.5038,                 1.6812,                0.62561,                0.66741,                0.65289,                0.29855,                 1.7578,                 1.4546,                 2.1012,              0.0015335,              0.0015335,              0.0015335
                      7,                 1.3112,                 1.4688,                 1.6623,                0.69929,                0.71912,                0.74716,                0.36504,                 1.7031,                 1.2899,                 2.0103,              0.0015173,              0.0015173,              0.0015173
                      8,                 1.2909,                 1.4281,                  1.643,                0.73526,                0.68187,                0.74479,                0.36081,                 1.6959,                 1.2655,                 2.0177,              0.0015012,              0.0015012,              0.0015012
                      9,                 1.2826,                 1.4089,                  1.632,                 0.7141,                0.68632,                0.73968,                0.38907,                 1.6079,                 1.2253,                 1.9064,               0.001485,               0.001485,               0.001485
                     10,                  1.266,                 1.3801,                 1.6263,                0.73142,                0.70583,                0.76881,                0.43379,                 1.5334,                 1.1872,                 1.8712,              0.0014689,              0.0014689,              0.0014689
                     11,                 1.2521,                  1.341,                 1.6112,                0.74074,                0.73749,                0.78317,                0.40989,                 1.6012,                 1.2036,                 1.9004,              0.0014527,              0.0014527,              0.0014527
                     12,                 1.2482,                 1.3284,                 1.6025,                0.71642,                0.71079,                0.76251,                0.40457,                 1.5976,                 1.1626,                 1.9065,              0.0014366,              0.0014366,              0.0014366
                     13,                 1.2369,                 1.3137,                 1.5966,                 0.7469,                0.74194,                0.77658,                0.42399,                 1.5442,                 1.1821,                 1.8695,              0.0014205,              0.0014205,              0.0014205
                     14,                  1.214,                 1.2949,                 1.5801,                0.75087,                0.71411,                0.79408,                0.42908,                 1.5701,                 1.1274,                 1.8666,              0.0014043,              0.0014043,              0.0014043
                     15,                  1.222,                 1.2697,                 1.5808,                0.75489,                0.71601,                0.77758,                0.40134,                 1.6632,                  1.155,                 1.9896,              0.0013882,              0.0013882,              0.0013882
                     16,                 1.2123,                 1.2568,                 1.5688,                0.74837,                0.70463,                0.76515,                0.40891,                 1.5934,                 1.1771,                 1.9151,               0.001372,               0.001372,               0.001372
                     17,                 1.1981,                 1.2553,                 1.5647,                0.74149,                0.73702,                0.79088,                0.44484,                   1.52,                 1.1162,                 1.8291,              0.0013559,              0.0013559,              0.0013559
                     18,                 1.1823,                 1.2225,                 1.5474,                 0.7564,                0.75973,                0.80238,                0.43408,                 1.5867,                 1.0643,                 1.8718,              0.0013398,              0.0013398,              0.0013398
                     19,                  1.183,                  1.204,                 1.5459,                0.73776,                0.75973,                0.79002,                0.43468,                 1.5423,                 1.0865,                 1.8509,              0.0013236,              0.0013236,              0.0013236
                     20,                 1.1741,                  1.205,                  1.544,                0.75201,                0.77531,                0.82084,                0.45052,                 1.5403,                 1.0392,                 1.8419,              0.0013075,              0.0013075,              0.0013075
                     21,                 1.1736,                  1.195,                 1.5382,                 0.7161,                0.74915,                0.77826,                0.44044,                 1.4862,                 1.0465,                 1.8146,              0.0012913,              0.0012913,              0.0012913
                     22,                 1.1643,                 1.1829,                 1.5282,                0.73569,                0.76164,                 0.8134,                0.44906,                 1.5529,                 1.0551,                  1.861,              0.0012752,              0.0012752,              0.0012752
                     23,                 1.1565,                 1.1664,                 1.5237,                0.76375,                  0.712,                0.76915,                0.42728,                  1.535,                 1.1033,                 1.8594,              0.0012591,              0.0012591,              0.0012591
                     24,                 1.1488,                 1.1529,                 1.5161,                0.74795,                0.73939,                0.80248,                0.44495,                 1.5407,                 1.0722,                   1.86,              0.0012429,              0.0012429,              0.0012429
                     25,                 1.1428,                 1.1517,                 1.5187,                0.77341,                0.75306,                0.81094,                0.44599,                 1.5875,                 1.0516,                 1.8882,              0.0012268,              0.0012268,              0.0012268
                     26,                 1.1244,                 1.1162,                 1.4996,                0.75782,                0.77976,                0.81836,                0.46803,                 1.4803,                 1.0131,                 1.8033,              0.0012106,              0.0012106,              0.0012106
                     27,                 1.1384,                 1.1077,                 1.5066,                0.75783,                0.75528,                0.79051,                 0.4402,                 1.5438,                 1.0637,                 1.8649,              0.0011945,              0.0011945,              0.0011945
                     28,                 1.1161,                 1.0978,                  1.488,                0.77872,                0.74378,                0.81405,                0.45706,                 1.5234,                 1.0218,                  1.843,              0.0011783,              0.0011783,              0.0011783
                     29,                 1.1157,                 1.0997,                 1.4909,                0.77778,                0.74638,                0.79582,                0.43843,                  1.562,                  1.069,                 1.8765,              0.0011622,              0.0011622,              0.0011622
                     30,                 1.1092,                 1.0841,                 1.4821,                0.78155,                0.75083,                0.81213,                0.45246,                 1.5209,                 1.0045,                 1.8334,              0.0011461,              0.0011461,              0.0011461
                     31,                 1.1027,                 1.0809,                 1.4774,                0.75539,                0.76863,                 0.8127,                 0.4677,                 1.4866,                0.99922,                 1.8078,              0.0011299,              0.0011299,              0.0011299
                     32,                 1.1027,                 1.0671,                 1.4729,                0.75951,                0.77531,                0.81357,                 0.4689,                 1.4786,                0.99256,                 1.7841,              0.0011138,              0.0011138,              0.0011138
                     33,                 1.0841,                 1.0453,                 1.4602,                0.79274,                0.77009,                0.82817,                0.47451,                 1.4875,                0.99016,                 1.8113,              0.0010976,              0.0010976,              0.0010976
                     34,                 1.0908,                 1.0528,                 1.4637,                0.81965,                0.73637,                0.82489,                0.47584,                 1.4756,                0.96554,                 1.7916,              0.0010815,              0.0010815,              0.0010815
                     35,                 1.0854,                 1.0525,                 1.4635,                0.75829,                0.79214,                0.83369,                0.48274,                 1.4593,                0.97804,                 1.7673,              0.0010654,              0.0010654,              0.0010654
                     36,                 1.0772,                 1.0448,                  1.456,                0.80389,                0.76148,                0.83557,                0.49605,                 1.4468,                0.95589,                  1.758,              0.0010492,              0.0010492,              0.0010492
                     37,                 1.0835,                 1.0391,                 1.4608,                0.79228,                0.75519,                0.82896,                0.49055,                 1.4438,                0.96309,                 1.7714,              0.0010331,              0.0010331,              0.0010331
                     38,                 1.0749,                 1.0163,                 1.4533,                0.80465,                0.76752,                0.83591,                 0.4897,                 1.4609,                0.94468,                 1.7651,              0.0010169,              0.0010169,              0.0010169
                     39,                 1.0566,                 1.0106,                 1.4415,                 0.8069,                0.77157,                0.83697,                0.48856,                 1.4628,                0.93329,                 1.7777,              0.0010008,              0.0010008,              0.0010008
                     40,                  1.054,                0.99714,                 1.4357,                0.78316,                0.77538,                 0.8349,                0.48723,                 1.4731,                0.95033,                 1.7936,             0.00098464,             0.00098464,             0.00098464
                     41,                 1.0558,                0.99118,                 1.4328,                0.79044,                0.76418,                0.83171,                0.48154,                 1.4729,                0.96192,                 1.7852,              0.0009685,              0.0009685,              0.0009685
                     42,                 1.0456,                0.98817,                 1.4302,                0.79299,                0.77976,                0.83351,                0.48082,                 1.4718,                0.95163,                 1.7895,             0.00095236,             0.00095236,             0.00095236
                     43,                 1.0519,                0.99354,                 1.4327,                0.80747,                0.77753,                0.84871,                0.49003,                 1.4686,                0.91411,                 1.7912,             0.00093622,             0.00093622,             0.00093622
                     44,                 1.0401,                 0.9792,                 1.4235,                0.78434,                0.77753,                0.84233,                0.48874,                 1.4698,                0.94137,                 1.8041,             0.00092008,             0.00092008,             0.00092008
                     45,                 1.0343,                0.96017,                 1.4182,                0.79531,                0.79755,                0.84588,                0.48386,                 1.5022,                0.93433,                 1.8155,             0.00090394,             0.00090394,             0.00090394
                     46,                 1.0339,                0.96966,                 1.4179,                0.80883,                0.77531,                0.84345,                0.48391,                 1.4835,                0.92827,                 1.8149,             0.00088779,             0.00088779,             0.00088779
