                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4325,                 1.8808,                 1.7721,                  0.567,                0.55506,                0.57444,                0.23449,                 1.8301,                 1.7544,                 2.1903,               0.067163,             0.00048185,             0.00048185
                      2,                 1.4328,                 1.7368,                  1.771,                0.61804,                0.63515,                0.62626,                0.25186,                 1.9499,                 1.6639,                 2.2803,               0.034302,             0.00095426,             0.00095426
                      3,                 1.4236,                 1.7078,                 1.7679,                0.64716,                0.61412,                0.64995,                0.29385,                 1.8024,                 1.5354,                 2.1174,              0.0014312,               0.001417,               0.001417
                      4,                 1.3913,                 1.6294,                 1.7383,                0.68356,                 0.6704,                0.70973,                0.34585,                 1.7268,                 1.3692,                 2.0611,              0.0014028,              0.0014028,              0.0014028
                      5,                 1.3583,                 1.5759,                 1.7105,                0.68171,                0.73637,                 0.7279,                0.37041,                 1.6404,                 1.3892,                 1.9765,              0.0013883,              0.0013883,              0.0013883
                      6,                 1.3271,                 1.5123,                  1.687,                0.69611,                 0.6941,                0.74205,                0.36494,                   1.64,                 1.3394,                  1.975,              0.0013738,              0.0013738,              0.0013738
                      7,                  1.317,                 1.4792,                 1.6706,                0.71092,                0.70412,                0.74858,                0.34531,                 1.7669,                 1.2865,                   2.07,              0.0013594,              0.0013594,              0.0013594
                      8,                 1.2956,                 1.4411,                 1.6536,                0.75441,                0.71524,                0.78373,                0.41861,                 1.5494,                 1.2172,                 1.8896,              0.0013449,              0.0013449,              0.0013449
                      9,                 1.2797,                 1.4227,                 1.6367,                0.73166,                0.71969,                0.77028,                0.42045,                 1.5518,                 1.1707,                 1.8503,              0.0013305,              0.0013305,              0.0013305
                     10,                 1.2684,                 1.3869,                 1.6306,                0.73984,                 0.6991,                0.77067,                 0.4349,                 1.5079,                   1.19,                  1.852,               0.001316,               0.001316,               0.001316
                     11,                 1.2569,                 1.3589,                 1.6146,                0.76473,                0.71228,                0.79085,                0.42243,                 1.5623,                 1.1825,                 1.8711,              0.0013015,              0.0013015,              0.0013015
                     12,                 1.2498,                 1.3376,                 1.6078,                0.72334,                0.70857,                0.76115,                0.41238,                 1.5704,                 1.1798,                 1.8883,              0.0012871,              0.0012871,              0.0012871
                     13,                 1.2401,                 1.3333,                 1.6055,                0.75174,                0.69385,                0.77106,                0.41396,                 1.5898,                  1.206,                 1.8999,              0.0012726,              0.0012726,              0.0012726
                     14,                  1.224,                 1.3027,                 1.5902,                0.71053,                0.73971,                0.78854,                0.41782,                 1.6462,                 1.1154,                 1.9336,              0.0012582,              0.0012582,              0.0012582
                     15,                 1.2227,                  1.286,                 1.5845,                0.77711,                0.70968,                0.79895,                 0.4153,                  1.644,                 1.1227,                 1.9651,              0.0012437,              0.0012437,              0.0012437
                     16,                  1.216,                 1.2785,                 1.5775,                0.72892,                0.74305,                0.78855,                0.42148,                 1.5641,                 1.1263,                 1.9057,              0.0012292,              0.0012292,              0.0012292
                     17,                 1.2029,                 1.2674,                 1.5736,                0.72696,                0.77308,                0.79403,                0.45214,                 1.5082,                 1.0907,                 1.8296,              0.0012148,              0.0012148,              0.0012148
                     18,                 1.1912,                  1.242,                 1.5662,                0.74252,                0.77531,                0.80228,                0.42975,                 1.6112,                 1.0957,                  1.902,              0.0012003,              0.0012003,              0.0012003
                     19,                 1.1857,                 1.2216,                 1.5523,                0.74094,                0.77642,                0.81706,                0.45382,                 1.4995,                 1.0589,                 1.8198,              0.0011858,              0.0011858,              0.0011858
                     20,                 1.1854,                 1.2337,                 1.5591,                0.77772,                0.74726,                0.81606,                0.44659,                 1.5579,                 1.0567,                 1.8825,              0.0011714,              0.0011714,              0.0011714
                     21,                 1.1826,                 1.2128,                  1.547,                0.74264,                0.75862,                0.80946,                 0.4485,                 1.5235,                 1.0413,                 1.8436,              0.0011569,              0.0011569,              0.0011569
                     22,                 1.1718,                 1.1974,                 1.5388,                0.74517,                0.77086,                0.81647,                0.45252,                 1.5377,                 1.0735,                 1.8536,              0.0011425,              0.0011425,              0.0011425
                     23,                 1.1723,                 1.1909,                 1.5403,                0.74693,                0.75528,                0.78914,                0.43301,                 1.5302,                 1.0691,                 1.8552,               0.001128,               0.001128,               0.001128
