                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4417,                  1.879,                  1.775,                0.54306,                0.56174,                0.57108,                0.24636,                 1.7828,                 1.8318,                 2.1789,               0.067267,             0.00058604,             0.00058604
                      2,                 1.4577,                 1.7608,                 1.7951,                0.62727,                0.61846,                0.64181,                0.26666,                  1.865,                 1.6086,                 2.1969,                0.03449,               0.001143,               0.001143
                      3,                 1.4377,                 1.7198,                 1.7773,                0.63888,                0.62291,                0.66043,                0.29428,                 1.8269,                 1.4729,                  2.117,              0.0016848,              0.0016707,              0.0016707
                      4,                 1.4019,                 1.6446,                 1.7471,                0.63552,                0.63515,                0.65946,                0.29394,                 1.8286,                 1.4644,                 2.1374,               0.001627,               0.001627,               0.001627
                      5,                 1.3653,                 1.5795,                 1.7143,                0.68972,                0.68409,                0.71274,                 0.3653,                 1.6135,                 1.4478,                  1.958,               0.001583,               0.001583,               0.001583
                      6,                  1.333,                 1.5137,                 1.6941,                0.67955,                0.66284,                0.70898,                0.34781,                 1.7144,                  1.384,                 2.0437,               0.001539,               0.001539,               0.001539
                      7,                 1.3218,                 1.4889,                 1.6756,                0.69029,                0.73637,                0.73844,                0.33544,                  1.805,                 1.2937,                 2.0844,               0.001495,               0.001495,               0.001495
                      8,                 1.2966,                 1.4391,                 1.6507,                0.72039,                0.71079,                0.75086,                0.37046,                 1.6922,                 1.2587,                  2.012,              0.0014511,              0.0014511,              0.0014511
                      9,                 1.2847,                 1.4284,                 1.6409,                0.75964,                0.69744,                0.78117,                0.40239,                  1.639,                 1.1898,                 1.9519,              0.0014071,              0.0014071,              0.0014071
                     10,                 1.2734,                 1.4055,                 1.6387,                0.70822,                0.70412,                0.75506,                0.41273,                 1.5196,                 1.2269,                 1.8665,              0.0013631,              0.0013631,              0.0013631
                     11,                 1.2556,                 1.3764,                 1.6205,                0.72623,                0.70078,                0.77084,                 0.3968,                 1.5944,                 1.2258,                 1.9087,              0.0013192,              0.0013192,              0.0013192
                     12,                 1.2526,                 1.3478,                 1.6087,                0.73682,                0.71314,                0.75369,                0.39308,                  1.606,                 1.2137,                  1.933,              0.0012752,              0.0012752,              0.0012752
                     13,                 1.2366,                  1.337,                 1.6047,                 0.7473,                0.71079,                0.76451,                0.39971,                 1.6178,                 1.1741,                 1.9224,              0.0012312,              0.0012312,              0.0012312
                     14,                 1.2174,                 1.3047,                 1.5855,                 0.7939,                0.68556,                0.78262,                0.41293,                 1.5894,                 1.1281,                 1.9011,              0.0011872,              0.0011872,              0.0011872
                     15,                 1.2218,                 1.2906,                 1.5865,                0.74243,                0.74704,                0.78462,                0.39849,                 1.6876,                 1.1326,                 2.0035,              0.0011433,              0.0011433,              0.0011433
                     16,                 1.2122,                 1.2731,                 1.5735,                0.75306,                0.72636,                0.79051,                0.42123,                 1.5866,                  1.095,                 1.9125,              0.0010993,              0.0010993,              0.0010993
                     17,                 1.1984,                 1.2704,                 1.5741,                0.73867,                0.75772,                0.80177,                0.46244,                 1.4796,                 1.0696,                 1.7855,              0.0010553,              0.0010553,              0.0010553
                     18,                  1.186,                  1.245,                 1.5587,                0.76459,                0.73342,                 0.7978,                0.43338,                 1.5781,                 1.0802,                 1.8608,              0.0010114,              0.0010114,              0.0010114
                     19,                 1.1712,                 1.2151,                 1.5419,                0.76188,                0.72605,                0.79327,                 0.4401,                 1.5188,                 1.0921,                  1.822,             0.00096738,             0.00096738,             0.00096738
                     20,                 1.1743,                 1.2135,                  1.546,                  0.739,                0.79683,                0.81831,                 0.4627,                 1.5032,                 1.0335,                 1.8026,             0.00092341,             0.00092341,             0.00092341
                     21,                 1.1674,                 1.2039,                 1.5403,                 0.7302,                0.74638,                0.79201,                0.44346,                 1.5092,                 1.0639,                 1.8355,             0.00087944,             0.00087944,             0.00087944
                     22,                 1.1541,                 1.1893,                 1.5261,                0.77397,                0.75418,                0.82047,                 0.4592,                 1.5285,                 1.0306,                 1.8489,             0.00083547,             0.00083547,             0.00083547
                     23,                 1.1539,                 1.1755,                 1.5303,                 0.7416,                0.76529,                0.80111,                0.45706,                 1.4647,                 1.0519,                 1.7925,              0.0007915,              0.0007915,              0.0007915
                     24,                 1.1377,                 1.1539,                 1.5088,                0.76369,                0.76529,                 0.8158,                0.46778,                 1.4806,                 1.0177,                 1.8034,             0.00074752,             0.00074752,             0.00074752
                     25,                 1.1309,                 1.1506,                 1.5152,                0.77667,                0.76206,                0.82474,                0.45808,                 1.5379,                 1.0286,                 1.8499,             0.00070355,             0.00070355,             0.00070355
                     26,                 1.1132,                 1.1084,                  1.497,                0.78128,                0.74972,                0.82412,                0.47971,                 1.4745,                0.97816,                 1.7998,             0.00065958,             0.00065958,             0.00065958
                     27,                 1.1224,                 1.1086,                 1.5031,                0.76009,                0.77886,                0.81593,                0.46853,                  1.478,                 1.0039,                 1.7962,             0.00061561,             0.00061561,             0.00061561
                     28,                 1.1058,                 1.0824,                 1.4817,                0.79232,                0.79088,                0.83683,                0.47755,                 1.4744,                0.95688,                 1.7953,             0.00057164,             0.00057164,             0.00057164
                     29,                 1.0983,                 1.0765,                 1.4775,                0.76981,                0.79237,                0.83196,                0.47424,                 1.5143,                0.97177,                 1.8271,             0.00052766,             0.00052766,             0.00052766
                     30,                 1.0875,                 1.0619,                 1.4693,                0.79155,                0.77721,                0.83002,                0.47561,                 1.4829,                0.97446,                 1.8027,             0.00048369,             0.00048369,             0.00048369
                     31,                 1.0788,                0.82965,                 1.5497,                0.77552,                 0.8147,                 0.8391,                0.49225,                 1.4505,                0.93997,                 1.7697,             0.00043972,             0.00043972,             0.00043972
                     32,                 1.0455,                 0.7854,                 1.5195,                0.77778,                 0.7931,                0.82243,                0.47146,                 1.4831,                0.97592,                 1.7957,             0.00039575,             0.00039575,             0.00039575
                     33,                 1.0176,                0.75425,                 1.4933,                0.77393,                0.78198,                0.81706,                0.47482,                 1.4816,                0.96739,                 1.8153,             0.00035178,             0.00035178,             0.00035178
                     34,                 1.0062,                0.74087,                 1.4863,                0.79009,                0.80386,                0.84771,                0.50842,                 1.4002,                0.91729,                 1.7203,             0.00030781,             0.00030781,             0.00030781
                     35,                0.98555,                0.70814,                 1.4652,                0.81365,                0.77197,                0.83488,                0.50654,                 1.3963,                0.92781,                 1.7239,             0.00026383,             0.00026383,             0.00026383
                     36,                 0.9653,                0.68696,                 1.4521,                0.80438,                  0.802,                0.85016,                 0.5125,                  1.408,                0.90933,                 1.7446,             0.00021986,             0.00021986,             0.00021986
                     37,                0.95835,                0.67562,                 1.4422,                0.82099,                0.78561,                0.85384,                0.51328,                 1.4118,                0.89718,                 1.7527,             0.00017589,             0.00017589,             0.00017589
                     38,                0.94003,                0.65096,                  1.424,                0.81409,                0.80369,                0.85777,                 0.5156,                 1.4024,                0.87357,                 1.7342,             0.00013192,             0.00013192,             0.00013192
                     39,                0.92862,                0.64017,                 1.4136,                0.80185,                0.81201,                0.85071,                0.51531,                 1.3872,                0.86446,                 1.7197,             8.7946e-05,             8.7946e-05,             8.7946e-05
