                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4811,                 1.9056,                 1.8105,                0.58332,                0.51168,                0.55794,                0.22201,                 1.8931,                 1.7976,                 2.2611,               0.067518,             0.00083696,             0.00083696
                      2,                 1.4857,                 1.8042,                  1.813,                0.60788,                0.57063,                0.56757,                0.20788,                 2.0981,                 1.8525,                 2.4458,                0.03498,              0.0016324,              0.0016324
                      3,                  1.461,                 1.7438,                 1.7933,                 0.5667,                0.60666,                0.57649,                0.24232,                 1.8268,                  1.616,                 2.1642,              0.0024001,               0.002386,               0.002386
                      4,                 1.4138,                 1.6558,                 1.7532,                0.65721,                0.62069,                0.67616,                0.32182,                 1.7249,                 1.5197,                 2.0629,              0.0023235,              0.0023235,              0.0023235
                      5,                 1.3728,                 1.6014,                  1.718,                 0.6672,                0.65851,                0.69391,                0.33486,                 1.7146,                 1.4303,                  2.048,              0.0022607,              0.0022607,              0.0022607
                      6,                 1.3528,                 1.5294,                 1.7014,                0.59287,                0.64144,                0.61504,                 0.2646,                  1.829,                 1.5289,                 2.1682,              0.0021979,              0.0021979,              0.0021979
                      7,                 1.3319,                 1.4948,                 1.6815,                0.67124,                0.70633,                0.71798,                0.31888,                 1.8263,                 1.3584,                 2.1173,              0.0021351,              0.0021351,              0.0021351
                      8,                 1.3036,                 1.4414,                 1.6539,                0.76379,                0.71934,                0.77579,                0.39896,                 1.6387,                 1.2255,                 1.9585,              0.0020723,              0.0020723,              0.0020723
                      9,                 1.2939,                 1.4301,                 1.6474,                0.72925,                0.73703,                0.77871,                0.40789,                 1.5933,                 1.1835,                 1.9033,              0.0020096,              0.0020096,              0.0020096
                     10,                 1.2748,                 1.3926,                 1.6333,                0.73633,                0.72379,                0.78176,                0.42677,                   1.54,                 1.1674,                 1.8707,              0.0019468,              0.0019468,              0.0019468
                     11,                 1.2549,                 1.3599,                 1.6151,                0.74238,                0.74082,                0.77746,                 0.3925,                 1.6605,                   1.22,                 1.9692,               0.001884,               0.001884,               0.001884
                     12,                 1.2455,                 1.3295,                 1.6056,                0.73752,                0.69633,                0.77019,                0.39771,                 1.6511,                 1.1957,                 1.9666,              0.0018212,              0.0018212,              0.0018212
                     13,                 1.2336,                 1.3199,                 1.5978,                0.73893,                0.71413,                0.76764,                0.41008,                 1.6088,                 1.2082,                 1.9631,              0.0017584,              0.0017584,              0.0017584
                     14,                 1.2116,                 1.2935,                 1.5811,                0.76237,                0.73415,                0.81289,                0.44489,                 1.5424,                 1.1051,                 1.8642,              0.0016956,              0.0016956,              0.0016956
                     15,                 1.2186,                 1.2659,                 1.5794,                0.76964,                0.73192,                0.78895,                0.41159,                 1.6277,                  1.137,                 1.9349,              0.0016328,              0.0016328,              0.0016328
                     16,                 1.2038,                 1.2467,                 1.5606,                0.73649,                0.75083,                0.79122,                0.42995,                 1.5493,                 1.1027,                 1.8692,                0.00157,                0.00157,                0.00157
                     17,                 1.1882,                 1.2393,                 1.5608,                0.75045,                0.76938,                0.81688,                0.46473,                 1.5089,                 1.0599,                 1.8326,              0.0015072,              0.0015072,              0.0015072
                     18,                 1.1759,                 1.2182,                  1.551,                0.76516,                0.73573,                0.80121,                0.43471,                 1.5896,                 1.0963,                 1.8885,              0.0014444,              0.0014444,              0.0014444
                     19,                 1.1715,                 1.1908,                 1.5383,                0.75562,                0.76011,                0.82256,                0.47057,                  1.476,                 1.0523,                 1.7893,              0.0013816,              0.0013816,              0.0013816
                     20,                 1.1619,                 1.1883,                 1.5396,                0.75267,                0.76974,                0.81493,                0.46124,                 1.4946,                 1.0641,                 1.8158,              0.0013188,              0.0013188,              0.0013188
                     21,                 1.1532,                 1.1759,                 1.5275,                0.76637,                0.73192,                0.80286,                0.45166,                 1.4854,                 1.0537,                 1.8103,               0.001256,               0.001256,               0.001256
                     22,                  1.147,                 1.1573,                 1.5188,                0.75752,                 0.7564,                0.81886,                0.45874,                 1.5084,                 1.0484,                 1.8232,              0.0011932,              0.0011932,              0.0011932
                     23,                  1.138,                 1.1411,                 1.5133,                0.75333,                0.75417,                0.79113,                0.42618,                 1.5373,                 1.0655,                 1.8698,              0.0011304,              0.0011304,              0.0011304
                     24,                 1.1174,                 1.1222,                 1.4946,                0.77986,                0.75195,                 0.8142,                0.45574,                 1.5073,                 1.0384,                 1.8287,              0.0010676,              0.0010676,              0.0010676
                     25,                 1.1191,                  1.117,                 1.5021,                0.74965,                0.80868,                0.82065,                0.45945,                 1.5405,                 1.0262,                 1.8482,              0.0010048,              0.0010048,              0.0010048
