                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                    nan,                    nan,                    nan,                0.00183,                0.54839,                0.00265,                0.00071,                    nan,                    nan,                    nan,               0.089002,              2.457e-06,              2.457e-06
                      2,                    nan,                    nan,                    nan,                0.00184,                0.55284,                0.00289,                0.00079,                    nan,                    nan,                    nan,               0.077005,             5.0518e-06,             5.0518e-06
                      3,                    nan,                    nan,                    nan,                0.00185,                0.55506,                0.00309,                0.00088,                    nan,                    nan,                    nan,               0.065008,             7.5572e-06,             7.5572e-06
                      4,                    nan,                    nan,                    nan,                0.00184,                0.55061,                0.00333,                0.00094,                    nan,                    nan,                    nan,                0.05301,             9.9733e-06,             9.9733e-06
                      5,                    nan,                    nan,                    nan,                0.00181,                0.54283,                 0.0035,                0.00098,                    nan,                    nan,                    nan,               0.041012,               1.23e-05,               1.23e-05
                      6,                    nan,                    nan,                    nan,                0.00175,                0.52614,                0.00342,                0.00097,                    nan,                    nan,                    nan,               0.029015,             1.4537e-05,             1.4537e-05
