                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4608,                 1.8953,                 1.7929,                0.57556,                0.57168,                0.56847,                0.22894,                 1.9193,                 1.7947,                 2.2844,                0.06743,             0.00074922,             0.00074922
                      2,                 1.4845,                 1.8141,                 1.8205,                0.55775,                0.61513,                0.58774,                0.24777,                 1.8552,                 1.7162,                 2.2047,               0.034831,              0.0014838,              0.0014838
                      3,                 1.4655,                 1.7548,                 1.8099,                0.62843,                0.63776,                0.64132,                0.27709,                 1.8991,                 1.5306,                  2.225,              0.0022175,              0.0022033,              0.0022033
                      4,                 1.4137,                 1.6544,                 1.7555,                0.62846,                0.62656,                0.62853,                0.26497,                 1.8665,                 1.5305,                 2.2006,              0.0021812,              0.0021812,              0.0021812
                      5,                 1.3721,                 1.5896,                 1.7222,                0.68521,                 0.6663,                0.69491,                0.34409,                 1.6746,                 1.4172,                 2.0168,              0.0021587,              0.0021587,              0.0021587
                      6,                  1.338,                  1.529,                 1.7008,                 0.6405,                0.69165,                0.68617,                0.33156,                 1.7117,                 1.4394,                 2.0547,              0.0021362,              0.0021362,              0.0021362
                      7,                 1.3248,                 1.4983,                 1.6805,                0.66318,                0.70305,                0.70249,                0.31327,                 1.8171,                 1.3394,                 2.1445,              0.0021137,              0.0021137,              0.0021137
                      8,                 1.3045,                 1.4589,                 1.6647,                0.71409,                0.68521,                0.74143,                0.37484,                 1.6423,                 1.2682,                 2.0016,              0.0020912,              0.0020912,              0.0020912
                      9,                 1.2993,                 1.4329,                 1.6518,                0.74283,                0.69633,                0.74559,                0.39068,                 1.6375,                 1.2059,                 1.9682,              0.0020687,              0.0020687,              0.0020687
                     10,                 1.2778,                    1.4,                 1.6416,                0.73015,                0.72835,                0.77092,                0.43128,                 1.5595,                 1.1911,                  1.896,              0.0020462,              0.0020462,              0.0020462
                     11,                 1.2644,                 1.3739,                 1.6241,                0.71715,                0.73192,                0.77094,                0.39959,                 1.6238,                 1.2065,                 1.9447,              0.0020238,              0.0020238,              0.0020238
                     12,                 1.2628,                 1.3494,                 1.6163,                0.73086,                 0.7159,                0.77304,                0.40482,                 1.5879,                 1.1791,                  1.915,              0.0020013,              0.0020013,              0.0020013
                     13,                 1.2479,                 1.3399,                 1.6104,                0.74877,                0.71746,                0.77561,                0.40954,                 1.6078,                 1.1824,                 1.9448,              0.0019788,              0.0019788,              0.0019788
                     14,                 1.2278,                 1.3189,                 1.5946,                0.75564,                0.76364,                0.81626,                0.44132,                 1.5821,                 1.0872,                 1.8871,              0.0019563,              0.0019563,              0.0019563
