                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4375,                  1.867,                 1.7739,                0.59897,                0.54171,                0.57241,                0.23934,                  1.832,                 1.8627,                 2.2483,               0.067247,              0.0005661,              0.0005661
                      2,                 1.4512,                 1.7542,                 1.7925,                0.59972,                0.64998,                0.62333,                0.26712,                 1.9124,                 1.5823,                 2.2669,               0.034452,              0.0011041,              0.0011041
                      3,                 1.4434,                 1.7054,                 1.7819,                0.64158,                0.62069,                 0.6465,                0.30678,                 1.7013,                 1.5682,                 2.0399,               0.001628,              0.0016139,              0.0016139
                      4,                 1.3929,                  1.623,                 1.7347,                0.66439,                0.62625,                 0.6629,                0.28161,                 1.9023,                 1.5588,                  2.225,              0.0015716,              0.0015716,              0.0015716
                      5,                 1.3535,                 1.5667,                 1.7055,                0.74187,                0.68734,                0.74814,                0.38403,                 1.5974,                 1.3488,                 1.9442,              0.0015291,              0.0015291,              0.0015291
                      6,                 1.3288,                 1.5032,                 1.6875,                0.68457,                 0.7119,                 0.7382,                0.38479,                   1.63,                 1.3007,                 1.9505,              0.0014867,              0.0014867,              0.0014867
                      7,                 1.3035,                 1.4585,                 1.6596,                0.70092,                0.73514,                0.74074,                0.34991,                 1.7164,                 1.2958,                  2.019,              0.0014442,              0.0014442,              0.0014442
                      8,                  1.284,                 1.4167,                 1.6409,                 0.7217,                 0.7125,                 0.7792,                0.39966,                 1.6441,                 1.1958,                  1.975,              0.0014017,              0.0014017,              0.0014017
                      9,                 1.2732,                 1.3986,                 1.6319,                0.71846,                0.74416,                0.78503,                0.42519,                 1.5622,                 1.1534,                 1.8912,              0.0013592,              0.0013592,              0.0013592
                     10,                  1.261,                 1.3694,                 1.6235,                0.71986,                0.69745,                0.75686,                0.41705,                 1.5514,                 1.2428,                 1.9088,              0.0013167,              0.0013167,              0.0013167
                     11,                 1.2385,                 1.3306,                 1.6032,                0.74684,                0.74819,                0.80133,                0.43423,                 1.5498,                 1.1574,                 1.8688,              0.0012743,              0.0012743,              0.0012743
                     12,                 1.2313,                 1.3097,                 1.5942,                0.73367,                0.74527,                0.79977,                0.41648,                 1.5851,                 1.1619,                 1.8956,              0.0012318,              0.0012318,              0.0012318
                     13,                 1.2208,                 1.2874,                 1.5888,                0.72958,                0.73525,                0.78051,                0.41357,                 1.6429,                 1.1621,                 1.9501,              0.0011893,              0.0011893,              0.0011893
                     14,                 1.1968,                 1.2664,                 1.5678,                0.76101,                 0.7297,                0.79116,                0.42242,                 1.5942,                 1.1255,                 1.9178,              0.0011468,              0.0011468,              0.0011468
                     15,                 1.2017,                  1.246,                 1.5673,                0.76778,                0.73922,                0.80174,                0.42742,                  1.603,                 1.0997,                  1.926,              0.0011044,              0.0011044,              0.0011044
                     16,                 1.1868,                 1.2293,                 1.5551,                0.75562,                0.72913,                0.78876,                0.42468,                 1.5699,                  1.105,                 1.8941,              0.0010619,              0.0010619,              0.0010619
                     17,                 1.1742,                 1.2177,                 1.5494,                 0.7359,                0.79348,                0.80379,                 0.4493,                 1.5451,                 1.0295,                 1.8392,              0.0010194,              0.0010194,              0.0010194
                     18,                 1.1609,                 1.1905,                 1.5393,                0.76478,                0.75224,                0.80417,                0.44634,                 1.5654,                 1.0581,                 1.8554,             0.00097694,             0.00097694,             0.00097694
                     19,                 1.1511,                 1.1658,                 1.5271,                0.77544,                0.75417,                0.81022,                0.45617,                 1.5258,                 1.0538,                 1.8289,             0.00093447,             0.00093447,             0.00093447
                     20,                 1.1489,                 1.1694,                 1.5324,                0.77852,                 0.7351,                0.81788,                 0.4581,                 1.5284,                 1.0165,                 1.8314,             0.00089199,             0.00089199,             0.00089199
                     21,                 1.1442,                 1.1516,                 1.5196,                0.76489,                0.73825,                0.79887,                0.45796,                 1.4957,                 1.0353,                 1.8195,             0.00084952,             0.00084952,             0.00084952
                     22,                 1.1242,                 1.1333,                 1.5032,                0.76158,                0.76752,                0.81003,                0.45426,                 1.5318,                 1.0334,                 1.8466,             0.00080704,             0.00080704,             0.00080704
                     23,                 1.1275,                  1.122,                 1.5061,                0.77243,                0.77419,                0.82615,                0.46942,                 1.4818,                0.99647,                 1.7845,             0.00076456,             0.00076456,             0.00076456
                     24,                 1.1108,                 1.1105,                 1.4886,                0.76261,                0.76529,                0.82089,                0.46323,                 1.4902,                  1.015,                 1.7964,             0.00072209,             0.00072209,             0.00072209
                     25,                 1.1021,                 1.1012,                 1.4926,                0.77779,                0.75533,                0.81823,                0.44993,                 1.5558,                 1.0212,                 1.8559,             0.00067961,             0.00067961,             0.00067961
                     26,                 1.0874,                 1.0652,                 1.4756,                0.78781,                0.75992,                0.82791,                0.49058,                 1.4344,                0.96278,                 1.7567,             0.00063714,             0.00063714,             0.00063714
                     27,                 1.0916,                 1.0654,                 1.4804,                0.76579,                0.75528,                 0.8148,                0.47701,                 1.4414,                 1.0031,                 1.7616,             0.00059466,             0.00059466,             0.00059466
                     28,                 1.0709,                 1.0365,                 1.4577,                0.76085,                0.76085,                0.81398,                0.47661,                 1.4438,                0.99606,                 1.7717,             0.00055219,             0.00055219,             0.00055219
                     29,                 1.0725,                 1.0381,                  1.462,                 0.7558,                0.77807,                0.81773,                0.46188,                  1.524,                0.98855,                 1.8366,             0.00050971,             0.00050971,             0.00050971
                     30,                 1.0607,                 1.0231,                 1.4496,                 0.7698,                0.76752,                0.82002,                0.47577,                 1.4656,                0.97773,                 1.7854,             0.00046723,             0.00046723,             0.00046723
                     31,                 1.0437,                 0.7869,                 1.5169,                0.77497,                0.77642,                 0.8311,                0.49031,                 1.4076,                  0.939,                  1.735,             0.00042476,             0.00042476,             0.00042476
                     32,                 1.0175,                0.74535,                 1.4944,                0.78229,                0.77531,                0.83194,                 0.4867,                 1.4391,                0.94362,                 1.7746,             0.00038228,             0.00038228,             0.00038228
                     33,                0.98774,                0.71716,                 1.4707,                0.79175,                0.77393,                0.81926,                0.48163,                 1.4348,                0.95176,                 1.7843,             0.00033981,             0.00033981,             0.00033981
                     34,                0.97565,                0.71004,                 1.4606,                0.80867,                0.78532,                0.83837,                0.49693,                 1.4008,                0.92791,                 1.7366,             0.00029733,             0.00029733,             0.00029733
                     35,                0.95909,                0.68284,                 1.4442,                0.79589,                0.78087,                0.83729,                0.49765,                 1.4095,                0.92132,                 1.7587,             0.00025485,             0.00025485,             0.00025485
                     36,                0.95083,                0.67241,                 1.4424,                0.83406,                0.75528,                0.84002,                0.49575,                 1.4137,                 0.9114,                 1.7727,             0.00021238,             0.00021238,             0.00021238
                     37,                0.94059,                0.65779,                 1.4316,                 0.7891,                0.79644,                0.84127,                0.50016,                  1.423,                0.91666,                 1.7762,              0.0001699,              0.0001699,              0.0001699
                     38,                0.92704,                0.63707,                 1.4148,                0.80457,                0.77848,                0.83048,                0.49264,                 1.4204,                0.93026,                 1.7778,             0.00012743,             0.00012743,             0.00012743
                     39,                0.90956,                0.62892,                 1.4003,                0.81206,                0.78341,                0.84518,                0.50376,                 1.3941,                 0.9045,                 1.7517,             8.4952e-05,             8.4952e-05,             8.4952e-05
                     40,                0.90809,                0.62107,                 1.3998,                0.78984,                0.78592,                0.83589,                0.49823,                 1.4021,                0.91526,                 1.7612,             4.2476e-05,             4.2476e-05,             4.2476e-05
